num_newton_steps, optimal_magic_constant, optimal_RMSRE
1, 1593835520, 0.086536
1, 1593839616, 0.086374
1, 1593843712, 0.086213
1, 1593847808, 0.086051
1, 1593851904, 0.085890
1, 1593856000, 0.085729
1, 1593860096, 0.085567
1, 1593864192, 0.085406
1, 1593868288, 0.085245
1, 1593872384, 0.085084
1, 1593876480, 0.084922
1, 1593880576, 0.084761
1, 1593884672, 0.084600
1, 1593888768, 0.084439
1, 1593892864, 0.084278
1, 1593896960, 0.084117
1, 1593901056, 0.083956
1, 1593905152, 0.083796
1, 1593909248, 0.083635
1, 1593913344, 0.083474
1, 1593917440, 0.083314
1, 1593921536, 0.083153
1, 1593925632, 0.082992
1, 1593929728, 0.082832
1, 1593933824, 0.082671
1, 1593937920, 0.082511
1, 1593942016, 0.082351
1, 1593946112, 0.082190
1, 1593950208, 0.082030
1, 1593954304, 0.081869
1, 1593958400, 0.081709
1, 1593962496, 0.081549
1, 1593966592, 0.081389
1, 1593970688, 0.081229
1, 1593974784, 0.081069
1, 1593978880, 0.080909
1, 1593982976, 0.080749
1, 1593987072, 0.080589
1, 1593991168, 0.080429
1, 1593995264, 0.080270
1, 1593999360, 0.080110
1, 1594003456, 0.079951
1, 1594007552, 0.079791
1, 1594011648, 0.079632
1, 1594015744, 0.079472
1, 1594019840, 0.079313
1, 1594023936, 0.079154
1, 1594028032, 0.078994
1, 1594032128, 0.078835
1, 1594036224, 0.078676
1, 1594040320, 0.078517
1, 1594044416, 0.078358
1, 1594048512, 0.078199
1, 1594052608, 0.078041
1, 1594056704, 0.077882
1, 1594060800, 0.077723
1, 1594064896, 0.077565
1, 1594068992, 0.077406
1, 1594073088, 0.077248
1, 1594077184, 0.077089
1, 1594081280, 0.076931
1, 1594085376, 0.076773
1, 1594089472, 0.076615
1, 1594093568, 0.076457
1, 1594097664, 0.076299
1, 1594101760, 0.076141
1, 1594105856, 0.075983
1, 1594109952, 0.075825
1, 1594114048, 0.075667
1, 1594118144, 0.075510
1, 1594122240, 0.075352
1, 1594126336, 0.075194
