ADDR_WIDTH,WORD_WIDTH,RMSRE,MAX_REL_ERROR
6,6,0.00441453,0.01228481
6,8,0.003233879,0.007003554
6,10,0.003129969,0.005858642
6,12,0.003122236,0.005502594
6,14,0.003122232,0.005431396
6,16,0.003122151,0.005417528
7,6,0.003668518,0.01008649
7,8,0.001766591,0.004565103
7,10,0.001580245,0.003081272
7,12,0.001566018,0.002807706
7,14,0.001565112,0.002724132
7,16,0.001565172,0.00271268
8,6,0.003423287,0.008679748
8,8,0.001172048,0.003102248
8,10,0.0008135303,0.001782757
8,12,0.0007847817,0.001464114
8,14,0.0007832339,0.001374824
8,16,0.0007833634,0.001361361
9,6,0.0033627,0.008061555
9,8,0.000919285,0.00252823
9,10,0.0004381225,0.001132214
9,12,0.00039236,0.0007822779
9,14,0.0003893913,0.000704337
9,16,0.0003891114,0.0006850153
10,6,0.003346962,0.008042481
10,8,0.000856097,0.002181867
10,10,0.0002878296,0.0007848894
10,12,0.0002027638,0.0004435984
10,14,0.0001963314,0.0003654817
10,16,0.0001958873,0.0003462465
11,6,0.003341921,0.007749669
11,8,0.0008385589,0.002049329
11,10,0.0002283711,0.0006381381
11,12,0.0001111554,0.0002867025
11,14,9.883693e-05,0.0001965106
11,16,9.799947e-05,0.0001778732
