ADDR_WIDTH,WORD_WIDTH,LUT,DSP,RMSRE
6,6,151,1,0.004440618
6,8,153,1,0.003220808
6,10,155,1,0.003131888
6,12,157,1,0.003124988
6,14,159,1,0.003124995
6,16,161,1,0.003124782
7,6,158,1,0.00369398
7,8,163,1,0.001760951
7,10,168,1,0.001577502
7,12,174,1,0.001566061
7,14,178,1,0.001565977
7,16,183,1,0.001565879
8,6,167,1,0.003431989
8,8,176,1,0.001155366
8,10,190,1,0.000809164
8,12,200,1,0.000783633
8,14,210,1,0.0007825469
8,16,218,1,0.0007824087
9,6,183,1,0.003385432
9,8,204,1,0.0009100299
9,10,226,1,0.0004393641
9,12,246,1,0.0003938456
9,14,266,1,0.0003904346
9,16,289,1,0.0003905546
10,6,200,1,0.003367956
10,8,252,1,0.0008508171
10,10,289,1,0.0002884686
10,12,356,1,0.0002021091
10,14,382,1,0.000196463
10,16,410,1,0.0001960671
11,6,223,1,0.003363988
11,8,309,1,0.0008349841
11,10,392,1,0.0002291309
11,12,525,1,0.0001109581
11,14,566,1,9.822673e-05
11,16,651,1,9.733574e-05
