ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,RMSRE,MAX_REL_ERROR
5,5,5,22,1.288019e-05,3.181936e-05
5,5,6,22,7.182997e-06,2.154343e-05
5,6,5,22,5.234733e-06,1.488619e-05
5,6,6,22,2.653335e-06,9.710965e-06
6,5,5,22,4.41017e-06,1.166274e-05
6,5,6,22,1.901869e-06,6.464714e-06
6,6,5,22,1.746922e-06,5.742734e-06
6,6,6,22,1.50507e-06,4.064503e-06
6,6,7,22,1.503511e-06,4.064503e-06
6,7,6,22,1.541172e-06,4.064503e-06
6,7,7,22,1.541172e-06,4.064503e-06
7,6,6,22,1.577851e-06,4.090583e-06
7,6,7,22,1.577851e-06,4.090583e-06
7,7,6,22,1.604105e-06,4.090583e-06
7,7,7,22,1.604105e-06,4.090583e-06
