exp_splitting accuracy sweep
  NUM_SAMPLES      = 10000
  EXCLUDE_POS      = 1
  FORCE_BEHAVIORAL = 0
  A0=5 A1=5 A2=5 WW=22  RMSRE=1.288019e-05  max_rel_error=3.181936e-05  at x=-24.5424423  (dut=2.19451679e-11, ref=2.19458662e-11)
  A0=5 A1=5 A2=6 WW=22  RMSRE=7.182997e-06  max_rel_error=2.154343e-05  at x=-24.5424423  (dut=2.19453934e-11, ref=2.19458662e-11)
  A0=5 A1=6 A2=5 WW=22  RMSRE=5.234733e-06  max_rel_error=1.488619e-05  at x=-39.9659615  (dut=4.3953859e-18, ref=4.39545133e-18)
  A0=5 A1=6 A2=6 WW=22  RMSRE=2.653335e-06  max_rel_error=9.710965e-06  at x=-39.9659615  (dut=4.39540865e-18, ref=4.39545133e-18)
  A0=6 A1=5 A2=5 WW=22  RMSRE=4.410170e-06  max_rel_error=1.166274e-05  at x=-24.5424423  (dut=2.19456103e-11, ref=2.19458662e-11)
  A0=6 A1=5 A2=6 WW=22  RMSRE=1.901869e-06  max_rel_error=6.464714e-06  at x=-26.4371109  (dut=3.29993823e-12, ref=3.29995956e-12)
  A0=6 A1=6 A2=5 WW=22  RMSRE=1.746922e-06  max_rel_error=5.742734e-06  at x=-21.9862709  (dut=2.82801282e-10, ref=2.82802906e-10)
  A0=6 A1=6 A2=6 WW=22  RMSRE=1.505070e-06  max_rel_error=4.064503e-06  at x=-86.5122147  (dut=2.68055252e-38, ref=2.68054163e-38)
  A0=6 A1=6 A2=7 WW=22  RMSRE=1.503511e-06  max_rel_error=4.064503e-06  at x=-86.5122147  (dut=2.68055252e-38, ref=2.68054163e-38)
  A0=6 A1=7 A2=6 WW=22  RMSRE=1.541172e-06  max_rel_error=4.064503e-06  at x=-86.5122147  (dut=2.68055252e-38, ref=2.68054163e-38)
  A0=6 A1=7 A2=7 WW=22  RMSRE=1.541172e-06  max_rel_error=4.064503e-06  at x=-86.5122147  (dut=2.68055252e-38, ref=2.68054163e-38)
  A0=7 A1=6 A2=6 WW=22  RMSRE=1.577851e-06  max_rel_error=4.090583e-06  at x=-86.083847  (dut=4.11397855e-38, ref=4.11396173e-38)
  A0=7 A1=6 A2=7 WW=22  RMSRE=1.577851e-06  max_rel_error=4.090583e-06  at x=-86.083847  (dut=4.11397855e-38, ref=4.11396173e-38)
  A0=7 A1=7 A2=6 WW=22  RMSRE=1.604105e-06  max_rel_error=4.090583e-06  at x=-86.083847  (dut=4.11397855e-38, ref=4.11396173e-38)
  A0=7 A1=7 A2=7 WW=22  RMSRE=1.604105e-06  max_rel_error=4.090583e-06  at x=-86.083847  (dut=4.11397855e-38, ref=4.11396173e-38)
