exp_splitting accuracy sweep
  NUM_SAMPLES      = 10000
  EXCLUDE_POS      = 0
  FORCE_BEHAVIORAL = 0
  A0=5 A1=5 A2=5 WW=22  RMSRE=1.413509e-05  max_rel_error=3.296221e-05  at x=-17.2636986  (dut=3.18021627e-08, ref=3.1803211e-08)
  A0=5 A1=5 A2=6 WW=22  RMSRE=8.382395e-06  max_rel_error=2.268496e-05  at x=-17.2636986  (dut=3.18024895e-08, ref=3.1803211e-08)
  A0=5 A1=5 A2=7 WW=22  RMSRE=5.776752e-06  max_rel_error=1.754633e-05  at x=-17.2636986  (dut=3.1802653e-08, ref=3.1803211e-08)
  A0=5 A1=6 A2=5 WW=22  RMSRE=6.441738e-06  max_rel_error=1.601005e-05  at x=2.0344162  (dut=7.64766359, ref=7.64778603)
  A0=5 A1=6 A2=6 WW=22  RMSRE=3.687844e-06  max_rel_error=1.142919e-05  at x=0.431508839  (dut=1.53956115, ref=1.53957875)
  A0=5 A1=6 A2=7 WW=22  RMSRE=2.649006e-06  max_rel_error=8.874003e-06  at x=0.431508839  (dut=1.53956509, ref=1.53957875)
  A0=5 A1=7 A2=5 WW=22  RMSRE=2.770428e-06  max_rel_error=8.177134e-06  at x=0.431508839  (dut=1.53956616, ref=1.53957875)
  A0=5 A1=7 A2=6 WW=22  RMSRE=1.698803e-06  max_rel_error=5.621951e-06  at x=0.431508839  (dut=1.53957009, ref=1.53957875)
  A0=5 A1=7 A2=7 WW=22  RMSRE=1.447689e-06  max_rel_error=4.693146e-06  at x=-52.679554  (dut=1.32299547e-23, ref=1.32300168e-23)
  A0=6 A1=5 A2=5 WW=22  RMSRE=5.593348e-06  max_rel_error=1.284753e-05  at x=5.64262915  (dut=282.200073, ref=282.203699)
  A0=6 A1=5 A2=6 WW=22  RMSRE=2.781941e-06  max_rel_error=7.919265e-06  at x=4.01705599  (dut=55.5369225, ref=55.5373623)
  A0=6 A1=5 A2=7 WW=22  RMSRE=1.697179e-06  max_rel_error=5.312231e-06  at x=0.431508839  (dut=1.53957057, ref=1.53957875)
  A0=6 A1=6 A2=5 WW=22  RMSRE=2.418361e-06  max_rel_error=6.473678e-06  at x=0.431508839  (dut=1.53956878, ref=1.53957875)
  A0=6 A1=6 A2=6 WW=22  RMSRE=1.381309e-06  max_rel_error=3.918495e-06  at x=0.431508839  (dut=1.53957272, ref=1.53957875)
  A0=6 A1=6 A2=7 WW=22  RMSRE=1.152918e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
  A0=6 A1=7 A2=5 WW=22  RMSRE=1.296446e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
  A0=6 A1=7 A2=6 WW=22  RMSRE=1.103413e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
  A0=6 A1=7 A2=7 WW=22  RMSRE=1.075538e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
  A0=7 A1=5 A2=5 WW=22  RMSRE=2.282132e-06  max_rel_error=5.776810e-06  at x=0.431508839  (dut=1.53956985, ref=1.53957875)
  A0=7 A1=5 A2=6 WW=22  RMSRE=1.299097e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
  A0=7 A1=5 A2=7 WW=22  RMSRE=1.104577e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
  A0=7 A1=6 A2=5 WW=22  RMSRE=1.280511e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
  A0=7 A1=6 A2=6 WW=22  RMSRE=1.108985e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
  A0=7 A1=6 A2=7 WW=22  RMSRE=1.086936e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
  A0=7 A1=7 A2=5 WW=22  RMSRE=1.120035e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
  A0=7 A1=7 A2=6 WW=22  RMSRE=1.101248e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
  A0=7 A1=7 A2=7 WW=22  RMSRE=1.099200e-06  max_rel_error=3.898689e-06  at x=-81.1257706  (dut=5.85500398e-36, ref=5.85498116e-36)
