NUM_NEWTON_STEPS,ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,RMSRE,MAX_REL_ERROR,WORST_INPUT
0,2,3,3,12,0.000533081,0.0016477636,32376.5859375
0,2,4,4,13,0.0001773029,0.0006967542,-44336.265625
0,3,4,4,15,5.92757e-05,0.0002277385,-61.76517868041992
0,3,5,5,16,2.30723e-05,8.6183e-05,-1294.487060546875
0,4,5,5,18,7.8316e-06,2.83103e-05,-1537.743408203125
1,2,3,3,12,8.202e-07,2.15536e-05,-978.59130859375
1,2,4,4,13,4.59e-07,1.19115e-05,-680.3297729492188
1,3,4,4,15,4.558e-07,1.2517e-05,-468.6929931640625
1,3,5,5,16,4.705e-07,1.47958e-05,99.8674545288086
1,4,5,5,18,4.11e-07,1.11055e-05,-31.925086975097656
