NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,RMSRE,MAX_REL_ERROR,WORST_INPUT
0,6,6,0.0044989598,0.0118334991,5862.90478515625
0,6,8,0.0034009465,0.0078703852,-283.8192138671875
0,6,10,0.0033767075,0.0073633336,-73.56847381591797
0,6,12,0.00332218,0.0072935201,1684.0284423828125
0,6,14,0.0032853318,0.0071479075,-0.0030966950580477715
0,6,16,0.0032370561,0.0074528977,0.0016382562462240458
0,7,6,0.0035039076,0.0084248656,-16.368309020996094
0,7,8,0.0018368582,0.0046730017,415.3973083496094
0,7,10,0.0016738309,0.0037540795,785.8497314453125
0,7,12,0.0016263359,0.0038460521,-27.593713760375977
0,7,14,0.0015773981,0.0036194387,0.023704538121819496
0,7,16,0.0016465579,0.0037111896,720.85693359375
0,8,6,0.0035216859,0.0078024617,0.04301999881863594
0,8,8,0.0011839458,0.0031131825,0.0007565077976323664
0,8,10,0.0008564532,0.0020489147,375.65667724609375
0,8,12,0.000804583,0.0019616832,-458.4361877441406
0,8,14,0.0007934992,0.0018370098,-1766.4498291015625
0,8,16,0.0007926019,0.0019145164,-21474.158203125
0,9,6,0.0033500088,0.0079290251,24073.138671875
0,9,8,0.0009151499,0.0022775124,-3792.642333984375
0,9,10,0.0004421519,0.0011583603,-89.8801040649414
0,9,12,0.000428256,0.0009755639,1.0831042528152466
0,9,14,0.0004313152,0.0009514947,5711.30615234375
0,9,16,0.0004165763,0.0009026557,1629.7205810546875
0,10,6,0.0032693563,0.0074578261,44296.61328125
0,10,8,0.0008561043,0.0020802113,0.0008129229536280036
0,10,10,0.0002930802,0.0007602204,453.24285888671875
0,10,12,0.0002089001,0.0004468694,178.40736389160156
0,10,14,0.0002102475,0.0004767257,-0.2354278862476349
0,10,16,0.0002088204,0.0004651591,470.3899230957031
0,11,6,0.0032581539,0.0074298366,2466.001220703125
0,11,8,0.0008530916,0.001868966,1.4930953511793632e-05
0,11,10,0.0002274839,0.0005655567,-3532.4384765625
0,11,12,0.0001155171,0.0002916982,-10642.7939453125
0,11,14,0.000103431,0.0002327643,-176.63265991210938
0,11,16,0.0001013348,0.0002342421,-0.4305746257305145
1,6,6,4.96374e-05,0.0002076665,-0.5782235264778137
1,6,8,2.81069e-05,0.0001028223,-979.33251953125
1,6,10,2.43719e-05,8.12929e-05,137.7322998046875
1,6,12,2.53745e-05,8.62241e-05,784.65771484375
1,6,14,2.36206e-05,8.9421e-05,0.05292138084769249
1,6,16,2.50232e-05,8.67865e-05,7.4633564949035645
1,7,6,3.22836e-05,0.0001161394,-790.6181030273438
1,7,8,8.4943e-06,3.34691e-05,1.6376293897628784
1,7,10,6.262e-06,2.4811e-05,-1814.1202392578125
1,7,12,5.716e-06,2.04922e-05,-1.3059958219528198
1,7,14,6.5358e-06,3.18435e-05,-1.7741857767105103
1,7,16,6.0083e-06,2.4935e-05,-773.6387329101562
1,8,6,2.56522e-05,8.64546e-05,2.9947996154078282e-05
1,8,8,2.9392e-06,2.82376e-05,761.5288696289062
1,8,10,1.7355e-06,8.8763e-06,-116.95356750488281
1,8,12,1.6082e-06,1.8639e-05,567.0309448242188
1,8,14,1.6598e-06,1.19278e-05,-2.1227197647094727
1,8,16,1.5426e-06,1.63066e-05,-1826.8409423828125
1,9,6,2.21448e-05,8.94099e-05,-6.9741034507751465
1,9,8,1.8804e-06,1.62752e-05,204.8983917236328
1,9,10,7.357e-07,1.10086e-05,-321.7935485839844
1,9,12,5.558e-07,1.33865e-05,927.601806640625
1,9,14,4.373e-07,1.21065e-05,-312.7271728515625
1,9,16,5.441e-07,1.07515e-05,396.7174987792969
1,10,6,2.3834e-05,8.48696e-05,-0.002365141874179244
1,10,8,1.7507e-06,1.79951e-05,-582.21533203125
1,10,10,5.37e-07,1.21686e-05,-32.937496185302734
1,10,12,4.648e-07,1.19072e-05,905.1564331054688
1,10,14,3.542e-07,1.21772e-05,1633.2210693359375
1,10,16,5.643e-07,1.76669e-05,96.56758880615234
1,11,6,2.38974e-05,8.54859e-05,-182.4579315185547
1,11,8,1.5843e-06,1.05935e-05,-0.9009214043617249
1,11,10,3.862e-07,2.02304e-05,517.6865844726562
1,11,12,4.346e-07,2.85978e-05,1345.13916015625
1,11,14,5.198e-07,5.03767e-05,-2767.788330078125
1,11,16,4.623e-07,1.10593e-05,-568.3870239257812
2,6,6,4.089e-07,1.04216e-05,41.36613845825195
2,6,8,9.018e-07,2.48579e-05,0.5262154340744019
2,6,10,5.34e-07,1.45606e-05,-37.311824798583984
