Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 6, ADDR_WIDTH = 6], N = 64, SIMD = 2):   RMSRE = 0.0044989598, MAX_REL_ERROR = 0.0118334991, WORST_INPUT = 5862.9047851562500000000000000 (elements = 32603)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 8, ADDR_WIDTH = 6], N = 64, SIMD = 2):   RMSRE = 0.0034009465, MAX_REL_ERROR = 0.0078703852, WORST_INPUT = -283.8192138671875000000000000 (elements = 32551)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 10, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0033767075, MAX_REL_ERROR = 0.0073633336, WORST_INPUT = -73.5684738159179687500000000 (elements = 32661)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 12, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0033221800, MAX_REL_ERROR = 0.0072935201, WORST_INPUT = 1684.0284423828125000000000000 (elements = 32644)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 14, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0032853318, MAX_REL_ERROR = 0.0071479075, WORST_INPUT = -0.0030966950580477714538574 (elements = 32654)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 16, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0032370561, MAX_REL_ERROR = 0.0074528977, WORST_INPUT = 0.0016382562462240457534790 (elements = 32649)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 6, ADDR_WIDTH = 7], N = 64, SIMD = 2):   RMSRE = 0.0035039076, MAX_REL_ERROR = 0.0084248656, WORST_INPUT = -16.3683090209960937500000000 (elements = 32589)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 8, ADDR_WIDTH = 7], N = 64, SIMD = 2):   RMSRE = 0.0018368582, MAX_REL_ERROR = 0.0046730017, WORST_INPUT = 415.3973083496093750000000000 (elements = 32747)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 10, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0016738309, MAX_REL_ERROR = 0.0037540795, WORST_INPUT = 785.8497314453125000000000000 (elements = 32702)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 12, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0016263359, MAX_REL_ERROR = 0.0038460521, WORST_INPUT = -27.5937137603759765625000000 (elements = 32592)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 14, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0015773981, MAX_REL_ERROR = 0.0036194387, WORST_INPUT = 0.0237045381218194961547852 (elements = 32692)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 16, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0016465579, MAX_REL_ERROR = 0.0037111896, WORST_INPUT = 720.8569335937500000000000000 (elements = 32702)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 6, ADDR_WIDTH = 8], N = 64, SIMD = 2):   RMSRE = 0.0035216859, MAX_REL_ERROR = 0.0078024617, WORST_INPUT = 0.0430199988186359405517578 (elements = 32746)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 8, ADDR_WIDTH = 8], N = 64, SIMD = 2):   RMSRE = 0.0011839458, MAX_REL_ERROR = 0.0031131825, WORST_INPUT = 0.0007565077976323664188385 (elements = 32655)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 10, ADDR_WIDTH = 8], N = 64, SIMD = 2):  RMSRE = 0.0008564532, MAX_REL_ERROR = 0.0020489147, WORST_INPUT = 375.6566772460937500000000000 (elements = 32590)
