NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,LUT,DSP,RMSRE
0,6,6,486,8,0.0044989598
0,6,8,488,8,0.0034009465
0,6,10,490,8,0.0033767075
0,6,12,492,8,0.00332218
0,6,14,494,8,0.0032853318
0,6,16,496,8,0.0032370561
0,7,6,492,8,0.0035039076
0,7,8,498,8,0.0018368582
0,7,10,502,8,0.0016738309
0,7,12,507,8,0.0016263359
0,7,14,512,8,0.0015773981
0,7,16,517,8,0.0016465579
0,8,6,501,8,0.0035216859
0,8,8,513,8,0.0011839458
0,8,10,522,8,0.0008564532
0,8,12,534,8,0.000804583
0,8,14,541,8,0.0007934992
0,8,16,551,8,0.0007926019
0,9,6,520,8,0.0033500088
0,9,8,541,8,0.0009151499
0,9,10,562,8,0.0004421519
0,9,12,584,8,0.000428256
0,9,14,604,8,0.0004313152
0,9,16,624,8,0.0004165763
0,10,6,545,8,0.0032693563
0,10,8,590,8,0.0008561043
0,10,10,629,8,0.0002930802
0,10,12,682,8,0.0002089001
0,10,14,711,8,0.0002102475
0,10,16,756,8,0.0002088204
0,11,6,563,8,0.0032581539
0,11,8,650,8,0.0008530916
0,11,10,731,8,0.0002274839
0,11,12,821,8,0.0001155171
0,11,14,929,8,0.000103431
0,11,16,994,8,0.0001013348
1,6,6,508,11,4.96374e-05
1,6,8,512,11,2.81069e-05
1,6,10,518,11,2.43719e-05
1,6,12,524,11,2.53745e-05
1,6,14,530,11,2.36206e-05
1,6,16,534,11,2.50232e-05
1,7,6,514,11,3.22836e-05
1,7,8,522,11,8.4943e-06
1,7,10,530,11,6.262e-06
1,7,12,539,11,5.716e-06
1,7,14,548,11,6.5358e-06
1,7,16,555,11,6.0083e-06
1,8,6,523,11,2.56522e-05
1,8,8,537,11,2.9392e-06
1,8,10,549,11,1.7355e-06
1,8,12,565,11,1.6082e-06
1,8,14,576,11,1.6598e-06
1,8,16,589,11,1.5426e-06
1,9,6,541,11,2.21448e-05
1,9,8,564,11,1.8804e-06
1,9,10,588,11,7.357e-07
1,9,12,616,11,5.558e-07
1,9,14,639,11,4.373e-07
1,9,16,661,11,5.441e-07
1,10,6,566,11,2.3834e-05
1,10,8,614,11,1.7507e-06
1,10,10,656,11,5.37e-07
1,10,12,713,11,4.648e-07
1,10,14,746,11,3.542e-07
1,10,16,792,11,5.643e-07
1,11,6,584,11,2.38974e-05
1,11,8,674,11,1.5843e-06
1,11,10,757,11,3.862e-07
1,11,12,850,11,4.346e-07
1,11,14,963,11,5.198e-07
1,11,16,1028,11,4.623e-07
2,6,6,556,14,4.089e-07
2,6,8,560,14,9.018e-07
2,6,10,566,14,5.34e-07
2,6,12,572,14,4.231e-07
2,6,14,578,14,5.032e-07
2,6,16,582,14,5.117e-07
2,7,6,562,14,7.72e-07
2,7,8,570,14,5.167e-07
2,7,10,578,14,4.307e-07
2,7,12,587,14,7.289e-07
2,7,14,596,14,4.795e-07
2,7,16,603,14,9.84e-07
2,8,6,571,14,4.296e-07
2,8,8,585,14,4.072e-07
2,8,10,597,14,3.167e-07
2,8,12,613,14,4.975e-07
2,8,14,624,14,5.04e-07
2,8,16,637,14,4.278e-07
2,9,6,589,14,3.575e-07
2,9,8,612,14,3.739e-07
2,9,10,636,14,5.487e-07
2,9,12,664,14,3.928e-07
2,9,14,687,14,2.793e-07
2,9,16,709,14,4.205e-07
2,10,6,614,14,4.388e-07
2,10,8,662,14,4.956e-07
2,10,10,704,14,4.996e-07
2,10,12,761,14,4.589e-07
2,10,14,794,14,3.418e-07
2,10,16,841,14,5.624e-07
2,11,6,632,14,4.577e-07
2,11,8,722,14,4.538e-07
2,11,10,807,14,3.662e-07
2,11,12,899,14,4.336e-07
2,11,14,1011,14,5.199e-07
2,11,16,1077,14,4.609e-07
