NUM_NEWTON_STEPS,ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,C,RMSRE,MAX_REL_ERROR
0,2,3,3,11,2.000001,0.001057613,0.004530101
0,2,4,4,12,2.0,0.0004047164,0.001966345
0,3,4,4,14,2.0,0.0001330765,0.0005623835
0,3,5,5,15,2.0,5.131228e-05,0.0002485879
0,4,5,5,17,2.0,1.663595e-05,7.241587e-05
0,4,6,6,18,2.0,6.373545e-06,3.149215e-05
1,2,3,3,11,2.000001,1.75068e-06,1.961798e-05
1,2,4,4,12,2.0,3.118972e-07,3.76187e-06
1,3,4,4,14,2.0,5.898151e-08,3.709309e-07
1,3,5,5,15,2.0,4.816565e-08,1.427632e-07
1,4,5,5,17,2.0,4.847184e-08,1.39411e-07
1,4,6,6,18,2.0,4.845592e-08,1.417165e-07
