rec_bipartite accuracy sweep
  NUM_SAMPLES      = 10000
  NS=0 A0=3 A1=3 A2=3 WW=13 C=2.000000  RMSRE=4.396147e-04  max_rel_error=1.664476e-03  at x=6.18997616e+26  (dut=1.61282612e-27, ref=1.61551511e-27)
  NS=0 A0=3 A1=3 A2=4 WW=13 C=2.000000  RMSRE=2.684451e-04  max_rel_error=1.237211e-03  at x=6.18997616e+26  (dut=1.61351637e-27, ref=1.61551511e-27)
  NS=0 A0=3 A1=3 A2=5 WW=13 C=2.000000  RMSRE=2.035300e-04  max_rel_error=1.016471e-03  at x=2.59295985e+18  (dut=3.85267642e-19, ref=3.85659654e-19)
  NS=0 A0=3 A1=3 A2=6 WW=13 C=2.000000  RMSRE=1.890203e-04  max_rel_error=9.100951e-04  at x=4.83691154e+24  (dut=2.06555339e-25, ref=2.06743496e-25)
  NS=0 A0=3 A1=3 A2=7 WW=13 C=2.000000  RMSRE=1.842982e-04  max_rel_error=8.709839e-04  at x=6.18997616e+26  (dut=1.61410802e-27, ref=1.61551511e-27)
  NS=0 A0=3 A1=4 A2=3 WW=14 C=2.000000  RMSRE=2.191064e-04  max_rel_error=8.404649e-04  at x=6.18997616e+26  (dut=1.61415732e-27, ref=1.61551511e-27)
  NS=0 A0=3 A1=4 A2=4 WW=14 C=2.000000  RMSRE=1.337796e-04  max_rel_error=6.268324e-04  at x=6.18997616e+26  (dut=1.61450245e-27, ref=1.61551511e-27)
  NS=0 A0=3 A1=4 A2=5 WW=14 C=2.000000  RMSRE=1.037442e-04  max_rel_error=5.132674e-04  at x=4.83691154e+24  (dut=2.06637381e-25, ref=2.06743496e-25)
  NS=0 A0=3 A1=4 A2=6 WW=14 C=2.000000  RMSRE=9.445085e-05  max_rel_error=4.522170e-04  at x=4.83691154e+24  (dut=2.06650003e-25, ref=2.06743496e-25)
  NS=0 A0=3 A1=4 A2=7 WW=14 C=2.000000  RMSRE=9.227476e-05  max_rel_error=4.553792e-04  at x=3.7785944e+22  (dut=2.64528159e-23, ref=2.64648675e-23)
  NS=0 A0=3 A1=5 A2=3 WW=15 C=2.000000  RMSRE=1.082407e-04  max_rel_error=3.979403e-04  at x=6.18997616e+26  (dut=1.61487223e-27, ref=1.61551511e-27)
