NUM_NEWTON_STEPS,ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,RAM_STYLE,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
0,2,3,3,11,"distributed",4.0,2.871,1.129,886,64,26,0,0,0
0,2,4,4,12,"distributed",4.0,2.881,1.119,894,68,36,0,0,0
0,3,4,4,14,"distributed",4.0,2.601,1.399,715,74,71,0,0,0
0,3,5,5,15,"distributed",4.0,2.476,1.524,656,78,125,0,0,0
0,4,5,5,17,"distributed",4.0,2.000,2.0,500,84,257,0,0,0
0,4,6,6,18,"distributed",4.0,2.060,1.94,515,94,478,0,0,0
0,5,6,6,20,"distributed",4.0,1.643,2.357,424,118,1062,0,0,0
1,2,3,3,11,"distributed",4.0,2.799,1.201,833,155,44,2,0,0
1,2,4,4,12,"distributed",4.0,2.774,1.226,816,156,57,2,0,0
1,3,4,4,14,"distributed",4.0,2.643,1.357,737,162,95,2,0,0
1,3,5,5,15,"distributed",4.0,2.630,1.37,730,163,152,2,0,0
1,4,5,5,17,"distributed",4.0,2.156,1.844,542,169,286,2,0,0
1,4,6,6,18,"distributed",4.0,1.947,2.053,487,176,510,2,0,0
1,5,6,6,20,"distributed",4.0,1.605,2.395,418,200,1093,2,0,0
