NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,C,RMSRE,MAX_REL_ERROR
0,6,6,2.0,0.004814353,0.01121214
0,6,8,2.0,0.003311962,0.008205171
0,6,10,2.0,0.003213591,0.007728877
0,6,12,2.0,0.003208322,0.007728877
0,6,14,2.0,0.003208223,0.007698357
0,6,16,2.0,0.003208117,0.007690727
0,7,6,2.0,0.003750721,0.008992696
0,7,8,2.0,0.0018251,0.004509551
0,7,10,2.0,0.00161049,0.004009807
0,7,12,2.0,0.001594521,0.003827641
0,7,14,2.0,0.001594599,0.003827641
0,7,16,2.0,0.001594475,0.00383533
0,8,6,2.0,0.003527327,0.00827695
0,8,8,2.0,0.001172035,0.002846175
0,8,10,2.0,0.0008252768,0.00202543
0,8,12,2.0,0.0007980845,0.001944948
0,8,14,2.0,0.0007962687,0.001914074
0,8,16,2.0,0.0007961944,0.001914074
0,9,6,2.0,0.003469722,0.007983442
0,9,8,2.0,0.0009512602,0.002302675
0,9,10,2.0,0.0004568629,0.001136262
0,9,12,2.0,0.0004008632,0.0009918895
0,9,14,2.0,0.0003979835,0.0009820468
0,9,16,2.0,0.0003979233,0.0009744025
0,10,6,2.0,0.003449031,0.007728877
0,10,8,2.0,0.0008834157,0.002113041
0,10,10,2.0,0.000287775,0.0007011203
0,10,12,2.0,0.0002059388,0.0005238056
0,10,14,2.0,0.0001992885,0.0004928118
0,10,16,2.0,0.0001988556,0.0004851675
0,11,6,2.0,0.00344543,0.007728877
0,11,8,2.0,0.0008674724,0.002017044
0,11,10,2.0,0.0002360037,0.000592596
0,11,12,2.0,0.0001136588,0.0002895899
0,11,14,2.0,0.0001007381,0.0002481943
0,11,16,2.0,9.986526e-05,0.0002419764
1,6,6,2.000023,2.641735e-05,0.0001023988
1,6,8,2.000011,1.17489e-05,5.836898e-05
1,6,10,2.00001,1.081844e-05,4.83151e-05
1,6,12,2.00001,1.078825e-05,4.83151e-05
1,6,14,2.00001,1.077681e-05,4.873883e-05
1,6,16,2.00001,1.077755e-05,4.88599e-05
1,7,6,2.000014,1.531893e-05,6.772902e-05
1,7,8,2.000003,3.747568e-06,1.650104e-05
1,7,10,2.000003,2.789138e-06,1.333705e-05
1,7,12,2.000003,2.706886e-06,1.197251e-05
1,7,14,2.000003,2.710256e-06,1.197251e-05
1,7,16,2.000003,2.707627e-06,1.197251e-05
1,8,6,2.000012,1.317146e-05,5.682356e-05
1,8,8,2.000001,1.587411e-06,6.66787e-06
1,8,10,2.000001,7.313048e-07,3.449194e-06
1,8,12,2.000001,6.790668e-07,3.156727e-06
1,8,14,2.000001,6.753427e-07,3.005691e-06
1,8,16,2.000001,6.754575e-07,3.005691e-06
1,9,6,2.000012,1.253987e-05,5.305111e-05
1,9,8,2.000001,9.902895e-07,4.664697e-06
1,9,10,2.0,2.371878e-07,1.086451e-06
1,9,12,2.0,1.921953e-07,8.212261e-07
1,9,14,2.0,1.910211e-07,7.586982e-07
1,9,16,2.0,1.902614e-07,7.013152e-07
1,10,6,2.000012,1.233508e-05,4.847591e-05
1,10,8,2.000001,8.130261e-07,3.676681e-06
1,10,10,2.0,1.369365e-07,5.554398e-07
1,10,12,2.0,7.861368e-08,3.143846e-07
1,10,14,2.0,7.486848e-08,3.129589e-07
1,10,16,2.0,7.384551e-08,3.035164e-07
1,11,6,2.000012,1.229916e-05,4.847591e-05
1,11,8,2.000001,7.700463e-07,3.29425e-06
1,11,10,2.0,9.579233e-08,3.84232e-07
1,11,12,2.0,5.210472e-08,1.837643e-07
1,11,14,2.0,5.043542e-08,1.689464e-07
1,11,16,2.0,5.038317e-08,1.689464e-07
