C,RMSRE,MAX_REL_ERROR
2.0,3.396326e-05,0.0001258487
2.000001,3.334458e-05,0.0001248578
2.000002,3.27427e-05,0.0001239377
2.000003,3.201363e-05,0.0001227344
2.000004,3.145173e-05,0.0001217435
2.000005,3.090823e-05,0.0001208234
2.000006,3.038541e-05,0.0001198325
2.000007,2.988367e-05,0.0001188416
2.000008,2.9288e-05,0.0001176383
2.000009,2.883895e-05,0.0001167182
2.00001,2.841433e-05,0.0001157273
2.000011,2.801522e-05,0.0001147364
2.000012,2.764449e-05,0.0001138162
2.000013,2.721977e-05,0.000112613
2.000014,2.691437e-05,0.0001116221
2.000015,2.663906e-05,0.0001106311
2.000016,2.639566e-05,0.000109711
2.000017,2.618405e-05,0.0001087201
2.000018,2.60065e-05,0.0001078
2.000019,2.583201e-05,0.0001065967
2.00002,2.573161e-05,0.0001056058
2.000021,2.566661e-05,0.0001046149
2.000022,2.563662e-05,0.0001036948
2.000023,2.564218e-05,0.0001027038
2.000024,2.569955e-05,0.0001015006
2.000025,2.578469e-05,0.0001005097
2.000026,2.590457e-05,9.958954e-05
2.000027,2.605959e-05,9.859863e-05
2.000028,2.624748e-05,9.760771e-05
2.000029,2.652982e-05,9.640446e-05
2.00003,2.679148e-05,9.548433e-05
2.000031,2.708392e-05,9.449341e-05
2.000032,2.74071e-05,9.357328e-05
2.000033,2.776e-05,9.258237e-05
2.000034,2.823886e-05,9.137911e-05
2.000035,2.865261e-05,9.03882e-05
2.000036,2.909103e-05,8.946807e-05
2.000037,2.955443e-05,8.847715e-05
2.000038,3.004087e-05,8.748624e-05
2.000039,3.067997e-05,8.628299e-05
2.00004,3.121484e-05,8.536285e-05
2.000041,3.176887e-05,8.437194e-05
2.000042,3.23417e-05,8.345181e-05
2.000043,3.293251e-05,8.246089e-05
2.000044,3.369426e-05,8.125764e-05
2.000045,3.432194e-05,8.026673e-05
2.000046,3.496387e-05,7.934659e-05
2.000047,3.561979e-05,7.835568e-05
2.000048,3.62884e-05,7.736477e-05
2.000049,3.714272e-05,7.616152e-05
2.00005,3.78392e-05,7.524138e-05
2.000051,3.854653e-05,7.425047e-05
2.000052,3.926471e-05,7.325956e-05
2.000053,3.999236e-05,7.233942e-05
2.000054,4.072963e-05,7.134851e-05
2.000055,4.166398e-05,7.014526e-05
2.000056,4.242026e-05,6.922512e-05
2.000057,4.318482e-05,6.823421e-05
2.000058,4.395695e-05,6.72433e-05
2.000059,4.473559e-05,6.632316e-05
2.00006,4.571868e-05,6.511991e-05
2.000061,4.651164e-05,6.4129e-05
2.000062,4.731137e-05,6.313808e-05
2.000063,4.811651e-05,6.303967e-05
2.000064,4.89269e-05,6.400768e-05
2.000065,4.994703e-05,6.520799e-05
2.000066,5.076818e-05,6.614239e-05
