rec_lookup accuracy sweep
  NUM_SAMPLES      = 10000
  NS=1 AW= 6 WW= 6 C=2.000000  RMSRE=3.396326e-05  max_rel_error=1.258487e-04  at x=1215.98303  (dut=0.000822276401, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000001  RMSRE=3.334458e-05  max_rel_error=1.248578e-04  at x=1215.98303  (dut=0.000822277216, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000002  RMSRE=3.274270e-05  max_rel_error=1.239377e-04  at x=1215.98303  (dut=0.000822277972, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000003  RMSRE=3.201363e-05  max_rel_error=1.227344e-04  at x=1215.98303  (dut=0.000822278962, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000004  RMSRE=3.145173e-05  max_rel_error=1.217435e-04  at x=1215.98303  (dut=0.000822279777, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000005  RMSRE=3.090823e-05  max_rel_error=1.208234e-04  at x=1215.98303  (dut=0.000822280534, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000006  RMSRE=3.038541e-05  max_rel_error=1.198325e-04  at x=1215.98303  (dut=0.000822281349, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000007  RMSRE=2.988367e-05  max_rel_error=1.188416e-04  at x=1215.98303  (dut=0.000822282163, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000008  RMSRE=2.928800e-05  max_rel_error=1.176383e-04  at x=1215.98303  (dut=0.000822283153, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000009  RMSRE=2.883895e-05  max_rel_error=1.167182e-04  at x=1215.98303  (dut=0.00082228391, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000010  RMSRE=2.841433e-05  max_rel_error=1.157273e-04  at x=1215.98303  (dut=0.000822284725, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000011  RMSRE=2.801522e-05  max_rel_error=1.147364e-04  at x=1215.98303  (dut=0.000822285539, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000012  RMSRE=2.764449e-05  max_rel_error=1.138162e-04  at x=1215.98303  (dut=0.000822286296, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000013  RMSRE=2.721977e-05  max_rel_error=1.126130e-04  at x=1215.98303  (dut=0.000822287286, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000014  RMSRE=2.691437e-05  max_rel_error=1.116221e-04  at x=1215.98303  (dut=0.000822288101, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000015  RMSRE=2.663906e-05  max_rel_error=1.106311e-04  at x=1215.98303  (dut=0.000822288916, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000016  RMSRE=2.639566e-05  max_rel_error=1.097110e-04  at x=1215.98303  (dut=0.000822289672, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000017  RMSRE=2.618405e-05  max_rel_error=1.087201e-04  at x=1215.98303  (dut=0.000822290487, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000018  RMSRE=2.600650e-05  max_rel_error=1.078000e-04  at x=1215.98303  (dut=0.000822291244, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000019  RMSRE=2.583201e-05  max_rel_error=1.065967e-04  at x=1215.98303  (dut=0.000822292233, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000020  RMSRE=2.573161e-05  max_rel_error=1.056058e-04  at x=1215.98303  (dut=0.000822293048, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000021  RMSRE=2.566661e-05  max_rel_error=1.046149e-04  at x=1215.98303  (dut=0.000822293863, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000022  RMSRE=2.563662e-05  max_rel_error=1.036948e-04  at x=1215.98303  (dut=0.00082229462, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000023  RMSRE=2.564218e-05  max_rel_error=1.027038e-04  at x=1215.98303  (dut=0.000822295435, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000024  RMSRE=2.569955e-05  max_rel_error=1.015006e-04  at x=1215.98303  (dut=0.000822296424, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000025  RMSRE=2.578469e-05  max_rel_error=1.005097e-04  at x=1215.98303  (dut=0.000822297239, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000026  RMSRE=2.590457e-05  max_rel_error=9.958954e-05  at x=1215.98303  (dut=0.000822297996, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000027  RMSRE=2.605959e-05  max_rel_error=9.859863e-05  at x=1215.98303  (dut=0.000822298811, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000028  RMSRE=2.624748e-05  max_rel_error=9.760771e-05  at x=1215.98303  (dut=0.000822299626, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000029  RMSRE=2.652982e-05  max_rel_error=9.640446e-05  at x=1215.98303  (dut=0.000822300615, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000030  RMSRE=2.679148e-05  max_rel_error=9.548433e-05  at x=1215.98303  (dut=0.000822301372, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000031  RMSRE=2.708392e-05  max_rel_error=9.449341e-05  at x=1215.98303  (dut=0.000822302187, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000032  RMSRE=2.740710e-05  max_rel_error=9.357328e-05  at x=1215.98303  (dut=0.000822302944, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000033  RMSRE=2.776000e-05  max_rel_error=9.258237e-05  at x=1215.98303  (dut=0.000822303758, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000034  RMSRE=2.823886e-05  max_rel_error=9.137911e-05  at x=1215.98303  (dut=0.000822304748, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000035  RMSRE=2.865261e-05  max_rel_error=9.038820e-05  at x=1215.98303  (dut=0.000822305563, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000036  RMSRE=2.909103e-05  max_rel_error=8.946807e-05  at x=1215.98303  (dut=0.00082230632, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000037  RMSRE=2.955443e-05  max_rel_error=8.847715e-05  at x=1215.98303  (dut=0.000822307135, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000038  RMSRE=3.004087e-05  max_rel_error=8.748624e-05  at x=1215.98303  (dut=0.000822307949, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000039  RMSRE=3.067997e-05  max_rel_error=8.628299e-05  at x=1215.98303  (dut=0.000822308939, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000040  RMSRE=3.121484e-05  max_rel_error=8.536285e-05  at x=1215.98303  (dut=0.000822309696, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000041  RMSRE=3.176887e-05  max_rel_error=8.437194e-05  at x=1215.98303  (dut=0.000822310511, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000042  RMSRE=3.234170e-05  max_rel_error=8.345181e-05  at x=1215.98303  (dut=0.000822311267, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000043  RMSRE=3.293251e-05  max_rel_error=8.246089e-05  at x=1215.98303  (dut=0.000822312082, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000044  RMSRE=3.369426e-05  max_rel_error=8.125764e-05  at x=1215.98303  (dut=0.000822313072, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000045  RMSRE=3.432194e-05  max_rel_error=8.026673e-05  at x=1215.98303  (dut=0.000822313887, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000046  RMSRE=3.496387e-05  max_rel_error=7.934659e-05  at x=1215.98303  (dut=0.000822314643, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000047  RMSRE=3.561979e-05  max_rel_error=7.835568e-05  at x=1215.98303  (dut=0.000822315458, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000048  RMSRE=3.628840e-05  max_rel_error=7.736477e-05  at x=1215.98303  (dut=0.000822316273, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000049  RMSRE=3.714272e-05  max_rel_error=7.616152e-05  at x=1215.98303  (dut=0.000822317263, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000050  RMSRE=3.783920e-05  max_rel_error=7.524138e-05  at x=1215.98303  (dut=0.000822318019, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000051  RMSRE=3.854653e-05  max_rel_error=7.425047e-05  at x=1215.98303  (dut=0.000822318834, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000052  RMSRE=3.926471e-05  max_rel_error=7.325956e-05  at x=1215.98303  (dut=0.000822319649, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000053  RMSRE=3.999236e-05  max_rel_error=7.233942e-05  at x=1215.98303  (dut=0.000822320406, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000054  RMSRE=4.072963e-05  max_rel_error=7.134851e-05  at x=1215.98303  (dut=0.000822321221, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000055  RMSRE=4.166398e-05  max_rel_error=7.014526e-05  at x=1215.98303  (dut=0.00082232221, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000056  RMSRE=4.242026e-05  max_rel_error=6.922512e-05  at x=1215.98303  (dut=0.000822322967, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000057  RMSRE=4.318482e-05  max_rel_error=6.823421e-05  at x=1215.98303  (dut=0.000822323782, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000058  RMSRE=4.395695e-05  max_rel_error=6.724330e-05  at x=1215.98303  (dut=0.000822324597, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000059  RMSRE=4.473559e-05  max_rel_error=6.632316e-05  at x=1215.98303  (dut=0.000822325354, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000060  RMSRE=4.571868e-05  max_rel_error=6.511991e-05  at x=1215.98303  (dut=0.000822326343, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000061  RMSRE=4.651164e-05  max_rel_error=6.412900e-05  at x=1215.98303  (dut=0.000822327158, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000062  RMSRE=4.731137e-05  max_rel_error=6.313808e-05  at x=1215.98303  (dut=0.000822327973, ref=0.000822379896)
  NS=1 AW= 6 WW= 6 C=2.000063  RMSRE=4.811651e-05  max_rel_error=6.303967e-05  at x=12483466  (dut=8.01110076e-08, ref=8.01059578e-08)
  NS=1 AW= 6 WW= 6 C=2.000064  RMSRE=4.892690e-05  max_rel_error=6.400768e-05  at x=2.69729146e+32  (dut=3.70766016e-33, ref=3.70742286e-33)
  NS=1 AW= 6 WW= 6 C=2.000065  RMSRE=4.994703e-05  max_rel_error=6.520799e-05  at x=5825.16162  (dut=0.000171680251, ref=0.000171669057)
  NS=1 AW= 6 WW= 6 C=2.000066  RMSRE=5.076818e-05  max_rel_error=6.614239e-05  at x=2.16509265e+12  (dut=4.61904549e-13, ref=4.61873999e-13)
