NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,RMSRE_C2,RMSRE_OPT,C_OPT,RMSRE_IMPROVEMENT_PCT
1,6,6,3.517505e-05,2.641735e-05,2.000023,24.897477046940942
1,6,8,1.602526e-05,1.17489e-05,2.000011,26.6851208654337
1,6,10,1.492523e-05,1.081844e-05,2.00001,27.515756876108433
1,6,12,1.487931e-05,1.078825e-05,2.00001,27.494957763498444
1,6,14,1.486776e-05,1.077681e-05,2.00001,27.515577329738978
1,6,16,1.486765e-05,1.077755e-05,2.00001,27.510063796228724
1,7,6,2.090514e-05,1.531893e-05,2.000014,26.721705762314922
1,7,8,5.041176e-06,3.747568e-06,2.000003,25.66083786798954
1,7,10,3.840064e-06,2.789138e-06,2.000003,27.367408459859
1,7,12,3.748188e-06,2.706886e-06,2.000003,27.78147734318556
1,7,14,3.748995e-06,2.710256e-06,2.000003,27.707132178090394
1,7,16,3.747096e-06,2.707627e-06,2.000003,27.740655697105176
1,8,6,1.817046e-05,1.317146e-05,2.000012,27.51168655058815
1,8,8,2.111802e-06,1.587411e-06,2.000001,24.831447266363043
1,8,10,1.000459e-06,7.313048e-07,2.000001,26.903071490185994
1,8,12,9.317835e-07,6.790668e-07,2.000001,27.12182604650114
1,8,14,9.278313e-07,6.753427e-07,2.000001,27.21277025252327
1,8,16,9.277318e-07,6.754575e-07,2.000001,27.192589496231555
1,9,6,1.743054e-05,1.253987e-05,2.000012,28.058052131488765
1,9,8,1.338916e-06,9.902895e-07,2.000001,26.037966534121626
1,9,10,3.133947e-07,2.371878e-07,2.0,24.316588634077085
1,9,12,2.392789e-07,1.921953e-07,2.0,19.677288720401165
1,9,14,2.347042e-07,1.910211e-07,2.0,18.611980526978215
1,9,16,2.335087e-07,1.902614e-07,2.0,18.520637560827495
1,10,6,1.718771e-05,1.233508e-05,2.000012,28.233138678741952
1,10,8,1.123078e-06,8.130261e-07,2.000001,27.607334486117608
1,10,10,1.369365e-07,1.369365e-07,2.0,0.0
1,10,12,7.861368e-08,7.861368e-08,2.0,0.0
1,10,14,7.486848e-08,7.486848e-08,2.0,0.0
1,10,16,7.384551e-08,7.384551e-08,2.0,0.0
1,11,6,1.714808e-05,1.229916e-05,2.000012,28.276751682987257
1,11,8,1.073336e-06,7.700463e-07,2.000001,28.2567341447599
1,11,10,9.579233e-08,9.579233e-08,2.0,0.0
1,11,12,5.210472e-08,5.210472e-08,2.0,0.0
1,11,14,5.043542e-08,5.043542e-08,2.0,0.0
1,11,16,5.038317e-08,5.038317e-08,2.0,0.0
