NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
0,6,6,4.0,2.872,1.128,887,15,13,0,0,0
0,6,8,4.0,2.937,1.063,941,17,14,0,0,0
0,6,10,4.0,2.804,1.196,836,19,16,0,0,0
0,6,12,4.0,2.794,1.206,829,21,18,0,0,0
0,6,14,4.0,2.782,1.218,821,23,21,0,0,0
0,6,16,4.0,2.863,1.137,880,25,22,0,0,0
0,7,6,4.0,2.810,1.19,840,15,18,0,0,0
0,7,8,4.0,2.768,1.232,812,17,25,0,0,0
0,7,10,4.0,2.836,1.164,859,19,29,0,0,0
0,7,12,4.0,2.779,1.221,819,21,35,0,0,0
0,7,14,4.0,2.741,1.259,794,23,40,0,0,0
0,7,16,4.0,2.755,1.245,803,25,45,0,0,0
0,8,6,4.0,2.822,1.178,849,15,30,0,0,0
0,8,8,4.0,2.879,1.121,892,17,39,0,0,0
0,8,10,4.0,2.890,1.11,901,19,51,0,0,0
0,8,12,4.0,2.740,1.26,794,21,60,0,0,0
0,8,14,4.0,2.736,1.264,791,23,70,0,0,0
0,8,16,4.0,2.736,1.264,791,25,80,0,0,0
0,9,6,4.0,2.950,1.05,952,15,44,0,0,0
0,9,8,4.0,2.936,1.064,940,17,66,0,0,0
0,9,10,4.0,2.860,1.14,877,19,88,0,0,0
0,9,12,4.0,2.888,1.112,899,21,108,0,0,0
0,9,14,4.0,2.918,1.082,924,23,130,0,0,0
0,9,16,4.0,2.843,1.157,864,25,152,0,0,0
0,10,6,4.0,2.871,1.129,886,15,68,0,0,0
0,10,8,4.0,2.915,1.085,922,17,109,0,0,0
0,10,10,4.0,2.890,1.11,901,19,151,0,0,0
0,10,12,4.0,2.720,1.28,781,21,209,0,0,0
0,10,14,4.0,2.867,1.133,883,23,234,0,0,0
0,10,16,4.0,2.624,1.376,727,25,274,0,0,0
0,11,6,4.0,2.908,1.092,916,15,84,0,0,0
0,11,8,4.0,2.885,1.115,897,17,173,0,0,0
0,11,10,4.0,2.717,1.283,779,19,250,0,0,0
0,11,12,4.0,2.785,1.215,823,21,341,0,0,0
0,11,14,4.0,2.722,1.278,782,23,429,0,0,0
0,11,16,4.0,2.838,1.162,861,25,512,0,0,0
1,6,6,4.0,2.308,1.692,591,61,19,2,0,0
1,6,8,4.0,2.511,1.489,672,65,21,2,0,0
1,6,10,4.0,2.336,1.664,601,69,25,2,0,0
1,6,12,4.0,2.352,1.648,607,73,29,2,0,0
1,6,14,4.0,2.415,1.585,631,77,33,2,0,0
1,6,16,4.0,2.373,1.627,615,81,37,2,0,0
1,7,6,4.0,2.289,1.711,584,61,26,2,0,0
1,7,8,4.0,2.343,1.657,604,65,32,2,0,0
1,7,10,4.0,2.440,1.56,641,69,39,2,0,0
1,7,12,4.0,2.430,1.57,637,73,46,2,0,0
1,7,14,4.0,2.458,1.542,649,77,53,2,0,0
1,7,16,4.0,2.475,1.525,656,81,60,2,0,0
1,8,6,4.0,2.415,1.585,631,61,37,2,0,0
1,8,8,4.0,2.287,1.713,584,65,46,2,0,0
1,8,10,4.0,2.387,1.613,620,69,60,2,0,0
1,8,12,4.0,2.434,1.566,639,73,71,2,0,0
1,8,14,4.0,2.317,1.683,594,77,83,2,0,0
1,8,16,4.0,2.482,1.518,659,81,95,2,0,0
1,9,6,4.0,2.275,1.725,580,61,51,2,0,0
1,9,8,4.0,2.268,1.732,577,65,73,2,0,0
1,9,10,4.0,2.222,1.778,562,69,97,2,0,0
1,9,12,4.0,2.245,1.755,570,73,119,2,0,0
1,9,14,4.0,2.263,1.737,576,77,143,2,0,0
1,9,16,4.0,2.386,1.614,620,81,167,2,0,0
1,10,6,4.0,2.324,1.676,597,61,74,2,0,0
1,10,8,4.0,2.239,1.761,568,65,115,2,0,0
1,10,10,4.0,2.274,1.726,579,69,160,2,0,0
1,10,12,4.0,2.361,1.639,610,73,219,2,0,0
1,10,14,4.0,2.321,1.679,596,77,247,2,0,0
1,10,16,4.0,2.454,1.546,647,81,288,2,0,0
1,11,6,4.0,2.193,1.807,553,61,92,2,0,0
1,11,8,4.0,2.393,1.607,622,65,179,2,0,0
1,11,10,4.0,2.347,1.653,605,69,259,2,0,0
1,11,12,4.0,2.207,1.793,558,73,353,2,0,0
1,11,14,4.0,2.394,1.606,623,77,441,2,0,0
1,11,16,4.0,2.267,1.733,577,81,527,2,0,0
