NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,LUT,DSP,RMSRE
0,6,6,13,0,0.004814353
0,6,8,14,0,0.003311962
0,6,10,16,0,0.003213591
0,6,12,18,0,0.003208322
0,6,14,21,0,0.003208223
0,6,16,22,0,0.003208117
0,7,6,18,0,0.003750721
0,7,8,25,0,0.0018251
0,7,10,29,0,0.00161049
0,7,12,35,0,0.001594521
0,7,14,40,0,0.001594599
0,7,16,45,0,0.001594475
0,8,6,30,0,0.003527327
0,8,8,39,0,0.001172035
0,8,10,51,0,0.0008252768
0,8,12,60,0,0.0007980845
0,8,14,70,0,0.0007962687
0,8,16,80,0,0.0007961944
0,9,6,44,0,0.003469722
0,9,8,66,0,0.0009512602
0,9,10,88,0,0.0004568629
0,9,12,108,0,0.0004008632
0,9,14,130,0,0.0003979835
0,9,16,152,0,0.0003979233
0,10,6,68,0,0.003449031
0,10,8,109,0,0.0008834157
0,10,10,151,0,0.000287775
0,10,12,209,0,0.0002059388
0,10,14,234,0,0.0001992885
0,10,16,274,0,0.0001988556
0,11,6,84,0,0.00344543
0,11,8,173,0,0.0008674724
0,11,10,250,0,0.0002360037
0,11,12,341,0,0.0001136588
0,11,14,429,0,0.0001007381
0,11,16,512,0,9.986526e-05
1,6,6,19,2,2.641735e-05
1,6,8,21,2,1.17489e-05
1,6,10,25,2,1.081844e-05
1,6,12,29,2,1.078825e-05
1,6,14,33,2,1.077681e-05
1,6,16,37,2,1.077755e-05
1,7,6,26,2,1.531893e-05
1,7,8,32,2,3.747568e-06
1,7,10,39,2,2.789138e-06
1,7,12,46,2,2.706886e-06
1,7,14,53,2,2.710256e-06
1,7,16,60,2,2.707627e-06
1,8,6,37,2,1.317146e-05
1,8,8,46,2,1.587411e-06
1,8,10,60,2,7.313048e-07
1,8,12,71,2,6.790668e-07
1,8,14,83,2,6.753427e-07
1,8,16,95,2,6.754575e-07
1,9,6,51,2,1.253987e-05
1,9,8,73,2,9.902895e-07
1,9,10,97,2,2.371878e-07
1,9,12,119,2,1.921953e-07
1,9,14,143,2,1.910211e-07
1,9,16,167,2,1.902614e-07
1,10,6,74,2,1.233508e-05
1,10,8,115,2,8.130261e-07
1,10,10,160,2,1.369365e-07
1,10,12,219,2,7.861368e-08
1,10,14,247,2,7.486848e-08
1,10,16,288,2,7.384551e-08
1,11,6,92,2,1.229916e-05
1,11,8,179,2,7.700463e-07
1,11,10,259,2,9.579233e-08
1,11,12,353,2,5.210472e-08
1,11,14,441,2,5.043542e-08
1,11,16,527,2,5.038317e-08
