NUM_NEWTON_STEPS,ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,RMSRE,MAX_REL_ERROR
0,2,3,3,12,0.0004805752,0.001973188
0,2,4,4,13,0.0001671195,0.0008268596
0,3,4,4,15,6.097016e-05,0.0002713698
0,3,5,5,16,2.084324e-05,0.0001006378
0,4,5,5,18,7.594474e-06,3.174888e-05
0,4,6,6,19,2.628856e-06,1.254603e-05
1,2,3,3,12,6.138024e-07,5.793484e-06
1,2,4,4,13,9.295208e-08,9.54848e-07
1,3,4,4,15,4.222231e-08,1.803659e-07
1,3,5,5,16,4.121664e-08,1.357004e-07
1,4,5,5,18,4.087976e-08,1.286266e-07
1,4,6,6,19,4.081772e-08,1.38031e-07
