rsqrt_bipartite accuracy sweep
  NUM_SAMPLES      = 10000
  NS=0 A0=3 A1=3 A2=3 WW=13  RMSRE=2.129710e-04  max_rel_error=7.533757e-04  at x=0.0156262536  (dut=7.99365234, ref=7.99967911)
  NS=0 A0=3 A1=3 A2=4 WW=14  RMSRE=1.205547e-04  max_rel_error=4.787065e-04  at x=0.0156262536  (dut=7.99584961, ref=7.99967911)
  NS=0 A0=3 A1=3 A2=5 WW=14  RMSRE=8.563356e-05  max_rel_error=4.110060e-04  at x=1.01026112e-28  (dut=9.94499677e+13, ref=9.94908591e+13)
  NS=0 A0=3 A1=3 A2=6 WW=14  RMSRE=7.352269e-05  max_rel_error=3.678365e-04  at x=1.01026112e-28  (dut=9.94542627e+13, ref=9.94908591e+13)
  NS=0 A0=3 A1=3 A2=7 WW=14  RMSRE=7.046158e-05  max_rel_error=3.436354e-04  at x=8391153  (dut=0.000345095992, ref=0.00034521462)
  NS=0 A0=3 A1=4 A2=3 WW=14  RMSRE=1.065576e-04  max_rel_error=3.578208e-04  at x=264193.062  (dut=0.00194483995, ref=0.00194553611)
  NS=0 A0=3 A1=4 A2=4 WW=15  RMSRE=6.056068e-05  max_rel_error=2.505927e-04  at x=264193.062  (dut=0.00194504857, ref=0.00194553611)
  NS=0 A0=3 A1=4 A2=5 WW=15  RMSRE=4.283289e-05  max_rel_error=2.046377e-04  at x=264193.062  (dut=0.00194513798, ref=0.00194553611)
  NS=0 A0=3 A1=4 A2=6 WW=15  RMSRE=3.711725e-05  max_rel_error=1.740011e-04  at x=264193.062  (dut=0.00194519758, ref=0.00194553611)
  NS=0 A0=3 A1=4 A2=7 WW=15  RMSRE=3.539719e-05  max_rel_error=1.735185e-04  at x=0.0156262536  (dut=7.99829102, ref=7.99967911)
  NS=0 A0=3 A1=5 A2=3 WW=15  RMSRE=5.337018e-05  max_rel_error=1.893194e-04  at x=264193.062  (dut=0.00194516778, ref=0.00194553611)
  NS=0 A0=3 A1=5 A2=4 WW=16  RMSRE=3.012965e-05  max_rel_error=1.283703e-04  at x=3.80561319e-37  (dut=1.6212255e+18, ref=1.62101741e+18)
  NS=0 A0=3 A1=5 A2=5 WW=16  RMSRE=2.118064e-05  max_rel_error=9.740958e-05  at x=264193.062  (dut=0.00194534659, ref=0.00194553611)
  NS=0 A0=3 A1=5 A2=6 WW=16  RMSRE=1.834689e-05  max_rel_error=9.205846e-05  at x=7.13101283e-15  (dut=11843072, ref=11841981.8)
  NS=0 A0=3 A1=5 A2=7 WW=16  RMSRE=1.756597e-05  max_rel_error=8.368566e-05  at x=1.91439153e-06  (dut=722.804688, ref=722.744204)
  NS=0 A0=3 A1=6 A2=3 WW=16  RMSRE=2.640398e-05  max_rel_error=9.237226e-05  at x=8470550  (dut=0.000343561172, ref=0.000343592911)
  NS=0 A0=3 A1=6 A2=4 WW=17  RMSRE=1.505033e-05  max_rel_error=6.526685e-05  at x=8470550  (dut=0.000343570486, ref=0.000343592911)
  NS=0 A0=3 A1=6 A2=5 WW=17  RMSRE=1.061727e-05  max_rel_error=4.900361e-05  at x=8470550  (dut=0.000343576074, ref=0.000343592911)
  NS=0 A0=3 A1=6 A2=6 WW=17  RMSRE=9.133462e-06  max_rel_error=4.358253e-05  at x=8470550  (dut=0.000343577936, ref=0.000343592911)
  NS=0 A0=3 A1=6 A2=7 WW=17  RMSRE=8.783208e-06  max_rel_error=3.999873e-05  at x=0.0156262536  (dut=7.99935913, ref=7.99967911)
  NS=0 A0=3 A1=7 A2=3 WW=17  RMSRE=1.325972e-05  max_rel_error=4.498222e-05  at x=0.0629269183  (dut=3.98658752, ref=3.98640821)
  NS=0 A0=3 A1=7 A2=4 WW=18  RMSRE=7.550729e-06  max_rel_error=3.274036e-05  at x=8470550  (dut=0.000343581662, ref=0.000343592911)
  NS=0 A0=3 A1=7 A2=5 WW=18  RMSRE=5.285591e-06  max_rel_error=2.464762e-05  at x=264193.062  (dut=0.00194548815, ref=0.00194553611)
  NS=0 A0=3 A1=7 A2=6 WW=18  RMSRE=4.595752e-06  max_rel_error=2.330993e-05  at x=2.08303912e+34  (dut=6.92853099e-18, ref=6.92869249e-18)
  NS=0 A0=3 A1=7 A2=7 WW=18  RMSRE=4.380800e-06  max_rel_error=2.139978e-05  at x=2.08303912e+34  (dut=6.92854422e-18, ref=6.92869249e-18)
  NS=0 A0=4 A1=3 A2=3 WW=14  RMSRE=1.024375e-04  max_rel_error=2.965476e-04  at x=264193.062  (dut=0.00194495916, ref=0.00194553611)
  NS=0 A0=4 A1=3 A2=4 WW=15  RMSRE=5.334650e-05  max_rel_error=1.740011e-04  at x=264193.062  (dut=0.00194519758, ref=0.00194553611)
  NS=0 A0=4 A1=3 A2=5 WW=16  RMSRE=2.997920e-05  max_rel_error=1.244134e-04  at x=1.01351327e-06  (dut=993.1875, ref=993.311081)
  NS=0 A0=4 A1=3 A2=6 WW=16  RMSRE=2.122970e-05  max_rel_error=1.008180e-04  at x=1.01351327e-06  (dut=993.210938, ref=993.311081)
  NS=0 A0=4 A1=3 A2=7 WW=16  RMSRE=1.813010e-05  max_rel_error=8.508781e-05  at x=1.01351327e-06  (dut=993.226562, ref=993.311081)
  NS=0 A0=4 A1=4 A2=3 WW=15  RMSRE=5.134572e-05  max_rel_error=1.586828e-04  at x=264193.062  (dut=0.00194522738, ref=0.00194553611)
  NS=0 A0=4 A1=4 A2=4 WW=16  RMSRE=2.640432e-05  max_rel_error=8.508781e-05  at x=1.01351327e-06  (dut=993.226562, ref=993.311081)
  NS=0 A0=4 A1=4 A2=5 WW=17  RMSRE=1.505491e-05  max_rel_error=5.911381e-05  at x=264193.062  (dut=0.0019454211, ref=0.00194553611)
  NS=0 A0=4 A1=4 A2=6 WW=17  RMSRE=1.055563e-05  max_rel_error=4.882245e-05  at x=7.13101283e-15  (dut=11842560, ref=11841981.8)
  NS=0 A0=4 A1=4 A2=7 WW=17  RMSRE=9.203873e-06  max_rel_error=4.350614e-05  at x=0.000518790039  (dut=43.9020996, ref=43.9040097)
  NS=0 A0=4 A1=5 A2=3 WW=16  RMSRE=2.549396e-05  max_rel_error=7.443212e-05  at x=264193.062  (dut=0.0019453913, ref=0.00194553611)
  NS=0 A0=4 A1=5 A2=4 WW=17  RMSRE=1.321112e-05  max_rel_error=4.358253e-05  at x=8470550  (dut=0.000343577936, ref=0.000343592911)
  NS=0 A0=4 A1=5 A2=5 WW=18  RMSRE=7.449463e-06  max_rel_error=3.093713e-05  at x=5.57178074e-17  (dut=133972736, ref=133968591)
  NS=0 A0=4 A1=5 A2=6 WW=18  RMSRE=5.285743e-06  max_rel_error=2.423344e-05  at x=1.91439153e-06  (dut=722.761719, ref=722.744204)
  NS=0 A0=4 A1=5 A2=7 WW=18  RMSRE=4.578987e-06  max_rel_error=2.283191e-05  at x=0.0156262536  (dut=7.99949646, ref=7.99967911)
