Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 20): RMSRE = 0.0000032932, MAX_REL_ERROR = 0.0000121402, WORST_INPUT = 20445360544872332907098669056.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 19): RMSRE = 0.0000033063, MAX_REL_ERROR = 0.0000112217, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 18): RMSRE = 0.0000034729, MAX_REL_ERROR = 0.0000114224, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 17): RMSRE = 0.0000040084, MAX_REL_ERROR = 0.0000133459, WORST_INPUT = 2419685937343087842951168.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 16): RMSRE = 0.0000057531, MAX_REL_ERROR = 0.0000228571, WORST_INPUT = 255.9882659912109375000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 15): RMSRE = 0.0000098688, MAX_REL_ERROR = 0.0000423560, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 14): RMSRE = 0.0000190103, MAX_REL_ERROR = 0.0000905404, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 13): RMSRE = 0.0000368923, MAX_REL_ERROR = 0.0001518126, WORST_INPUT = 4.0031824111938476562500000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 12): RMSRE = 0.0000761528, MAX_REL_ERROR = 0.0002552489, WORST_INPUT = 0.0000000000000000000000530
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 11): RMSRE = 0.0001397137, MAX_REL_ERROR = 0.0005993475, WORST_INPUT = 19357422935140444760178688.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 10): RMSRE = 0.0002353881, MAX_REL_ERROR = 0.0009628698, WORST_INPUT = 0.0000000000000000000000000
