NUM_NEWTON_STEPS,ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,SUSTAINABLE_INTERVAL,RAM_STYLE,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
0,2,3,3,12,1,"distributed",4.0,2.959,1.041,961,66,37,0,0,0
0,2,4,4,13,1,"distributed",4.0,2.645,1.355,738,70,65,0,0,0
0,3,4,4,15,1,"distributed",4.0,2.689,1.311,763,76,122,0,0,0
0,3,5,5,16,1,"distributed",4.0,2.278,1.722,581,80,233,0,0,0
0,4,5,5,18,1,"distributed",4.0,2.197,1.803,555,92,492,0,0,0
0,4,6,6,19,1,"distributed",4.0,1.905,2.095,477,115,940,0,0,0
1,2,3,3,12,1,"distributed",4.0,1.996,2.004,499,134,67,3,0,0
1,2,4,4,13,1,"distributed",4.0,2.129,1.871,534,137,97,3,0,0
1,3,4,4,15,1,"distributed",4.0,2.097,1.903,525,144,158,3,0,0
1,3,5,5,16,1,"distributed",4.0,2.093,1.907,524,147,271,3,0,0
