NUM_NEWTON_STEPS,ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,RMSRE,MAX_REL_ERROR,WORST_INPUT
0,4,6,6,19,0.0000027173,0.0000138879,0.0002441408287268131971359
0,4,5,5,18,0.0000076585,0.0000361002,4731583662457012355072.0000000000000000000000000
0,3,5,5,16,0.0000215565,0.0001127198,0.0000000000000000000000000
0,3,4,4,15,0.0000611523,0.0002804131,9223752467877986304.0000000000000000000000000
0,2,4,4,13,0.0001715433,0.0008377577,17180444672.0000000000000000000000000
0,2,3,3,12,0.0004839334,0.0020693067,16384.1933593750000000000000000
1,4,6,6,19,0.0000000414,0.0000001411,221860134912.0000000000000000000000000
1,4,5,5,18,0.0000000412,0.0000001428,0.0000000000000000000531022
1,3,5,5,16,0.0000000416,0.0000001401,239.3218231201171875000000000
1,3,4,4,15,0.0000000424,0.0000001797,0.0001222527498612180352211
1,2,4,4,13,0.0000000974,0.0000011328,1329263648458047291855724155057995776.0000000000000000000000000
1,2,3,3,12,0.0000006234,0.0000063779,0.0000000000000000000000000
