Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 6, ADDR_2 = 6, WORD = 19): RMSRE = 0.0000027173, MAX_REL_ERROR = 0.0000138879, WORST_INPUT = 0.0002441408287268131971359
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 18): RMSRE = 0.0000076585, MAX_REL_ERROR = 0.0000361002, WORST_INPUT = 4731583662457012355072.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 5, ADDR_2 = 5, WORD = 16): RMSRE = 0.0000215565, MAX_REL_ERROR = 0.0001127198, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 4, ADDR_2 = 4, WORD = 15): RMSRE = 0.0000611523, MAX_REL_ERROR = 0.0002804131, WORST_INPUT = 9223752467877986304.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 2, ADDR_1 = 4, ADDR_2 = 4, WORD = 13): RMSRE = 0.0001715433, MAX_REL_ERROR = 0.0008377577, WORST_INPUT = 17180444672.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 2, ADDR_1 = 3, ADDR_2 = 3, WORD = 12): RMSRE = 0.0004839334, MAX_REL_ERROR = 0.0020693067, WORST_INPUT = 16384.1933593750000000000000000
Test (Newton = 1, ADDR_0 = 4, ADDR_1 = 6, ADDR_2 = 6, WORD = 19): RMSRE = 0.0000000414, MAX_REL_ERROR = 0.0000001411, WORST_INPUT = 221860134912.0000000000000000000000000
Test (Newton = 1, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 18): RMSRE = 0.0000000412, MAX_REL_ERROR = 0.0000001428, WORST_INPUT = 0.0000000000000000000531022
Test (Newton = 1, ADDR_0 = 3, ADDR_1 = 5, ADDR_2 = 5, WORD = 16): RMSRE = 0.0000000416, MAX_REL_ERROR = 0.0000001401, WORST_INPUT = 239.3218231201171875000000000
Test (Newton = 1, ADDR_0 = 3, ADDR_1 = 4, ADDR_2 = 4, WORD = 15): RMSRE = 0.0000000424, MAX_REL_ERROR = 0.0000001797, WORST_INPUT = 0.0001222527498612180352211
Test (Newton = 1, ADDR_0 = 2, ADDR_1 = 4, ADDR_2 = 4, WORD = 13): RMSRE = 0.0000000974, MAX_REL_ERROR = 0.0000011328, WORST_INPUT = 1329263648458047291855724155057995776.0000000000000000000000000
Test (Newton = 1, ADDR_0 = 2, ADDR_1 = 3, ADDR_2 = 3, WORD = 12): RMSRE = 0.0000006234, MAX_REL_ERROR = 0.0000063779, WORST_INPUT = 0.0000000000000000000000000
