ADDR_WIDTH,WORD_WIDTH,NUM_NEWTON_STEPS,SUSTAINABLE_INTERVAL,RAM_STYLE,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
6,6,2,1,"distributed",4.0,2.228,1.772,564,182,84,6,0,0
6,8,2,1,"distributed",4.0,2.262,1.738,575,186,88,6,0,0
6,10,2,1,"distributed",4.0,2.220,1.78,562,190,94,6,0,0
6,12,2,1,"distributed",4.0,2.311,1.689,592,194,100,6,0,0
6,14,2,1,"distributed",4.0,2.244,1.756,569,198,106,6,0,0
6,16,2,1,"distributed",4.0,2.269,1.731,578,202,110,6,0,0
7,6,2,1,"distributed",4.0,2.086,1.914,522,182,90,6,0,0
7,8,2,1,"distributed",4.0,2.093,1.907,524,186,98,6,0,0
7,10,2,1,"distributed",4.0,1.974,2.026,494,190,106,6,0,0
7,12,2,1,"distributed",4.0,1.982,2.018,496,194,115,6,0,0
7,14,2,1,"distributed",4.0,1.877,2.123,471,198,124,6,0,0
7,16,2,1,"distributed",4.0,1.984,2.016,496,202,131,6,0,0
8,6,2,1,"distributed",4.0,2.204,1.796,557,182,99,6,0,0
8,8,2,1,"distributed",4.0,2.016,1.984,504,186,113,6,0,0
8,10,2,1,"distributed",4.0,1.991,2.009,498,190,125,6,0,0
8,12,2,1,"distributed",4.0,2.091,1.909,524,194,141,6,0,0
8,14,2,1,"distributed",4.0,2.080,1.92,521,198,152,6,0,0
8,16,2,1,"distributed",4.0,1.881,2.119,472,202,165,6,0,0
9,6,2,1,"distributed",4.0,1.658,2.342,427,182,117,6,0,0
9,8,2,1,"distributed",4.0,1.745,2.255,443,186,140,6,0,0
9,10,2,1,"distributed",4.0,1.701,2.299,435,190,164,6,0,0
9,12,2,1,"distributed",4.0,1.842,2.158,463,194,192,6,0,0
9,14,2,1,"distributed",4.0,1.713,2.287,437,198,215,6,0,0
9,16,2,1,"distributed",4.0,1.605,2.395,418,202,237,6,0,0
10,6,2,1,"distributed",4.0,1.795,2.205,454,182,142,6,0,0
10,8,2,1,"distributed",4.0,1.696,2.304,434,186,190,6,0,0
10,10,2,1,"distributed",4.0,0.550,3.45,290,190,232,6,0,0
10,12,2,1,"distributed",4.0,1.569,2.431,411,194,289,6,0,0
10,14,2,1,"distributed",4.0,0.976,3.024,331,198,322,6,0,0
10,16,2,1,"distributed",4.0,1.628,2.372,422,207,369,6,0,0
11,6,2,1,"distributed",4.0,1.513,2.487,402,182,160,6,0,0
11,8,2,1,"distributed",4.0,1.483,2.517,397,186,250,6,0,0
11,10,2,1,"distributed",4.0,0.243,3.757,266,190,335,6,0,0
11,12,2,1,"distributed",4.0,1.263,2.737,365,200,427,6,0,0
11,14,2,1,"distributed",4.0,1.283,2.717,368,210,539,6,0,0
11,16,2,1,"distributed",4.0,1.286,2.714,368,212,605,6,0,0
