Test (Newton = 2, ADDR_W = 11, WORD_W = 16, II = 1): RMSRE = 0.0000000377, MAX_REL_ERROR = 0.0000001305, WORST_INPUT = 0.0000000000367782922172655
Test (Newton = 2, ADDR_W = 11, WORD_W = 14, II = 1): RMSRE = 0.0000000377, MAX_REL_ERROR = 0.0000001150, WORST_INPUT = 0.0000000000000000000000074
Test (Newton = 2, ADDR_W = 11, WORD_W = 12, II = 1): RMSRE = 0.0000000377, MAX_REL_ERROR = 0.0000001230, WORST_INPUT = 201719434879863419661502649766118424576.0000000000000000000000000
Test (Newton = 2, ADDR_W = 11, WORD_W = 10, II = 1): RMSRE = 0.0000000413, MAX_REL_ERROR = 0.0000001261, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 2, ADDR_W = 11, WORD_W = 8, II = 1): RMSRE = 0.0000000453, MAX_REL_ERROR = 0.0000001364, WORST_INPUT = 1060322534227968.0000000000000000000000000
Test (Newton = 2, ADDR_W = 11, WORD_W = 6, II = 1): RMSRE = 0.0000000472, MAX_REL_ERROR = 0.0000001413, WORST_INPUT = 76791609314861595004318697266348032.0000000000000000000000000
Test (Newton = 2, ADDR_W = 10, WORD_W = 16, II = 1): RMSRE = 0.0000000406, MAX_REL_ERROR = 0.0000001365, WORST_INPUT = 54009379496456716318475569137490853888.0000000000000000000000000
Test (Newton = 2, ADDR_W = 10, WORD_W = 14, II = 1): RMSRE = 0.0000000414, MAX_REL_ERROR = 0.0000001332, WORST_INPUT = 0.0000000000005640344419820
Test (Newton = 2, ADDR_W = 10, WORD_W = 12, II = 1): RMSRE = 0.0000000411, MAX_REL_ERROR = 0.0000001273, WORST_INPUT = 0.0000000000000000000005367
Test (Newton = 2, ADDR_W = 10, WORD_W = 10, II = 1): RMSRE = 0.0000000425, MAX_REL_ERROR = 0.0000001336, WORST_INPUT = 168803.9218750000000000000000000
Test (Newton = 2, ADDR_W = 10, WORD_W = 8, II = 1): RMSRE = 0.0000000456, MAX_REL_ERROR = 0.0000001377, WORST_INPUT = 1050994671616.0000000000000000000000000
Test (Newton = 2, ADDR_W = 10, WORD_W = 6, II = 1): RMSRE = 0.0000000473, MAX_REL_ERROR = 0.0000001389, WORST_INPUT = 57863779866977501596585295872.0000000000000000000000000
Test (Newton = 2, ADDR_W = 9, WORD_W = 16, II = 1): RMSRE = 0.0000000434, MAX_REL_ERROR = 0.0000001371, WORST_INPUT = 3184.8259277343750000000000000
Test (Newton = 2, ADDR_W = 9, WORD_W = 14, II = 1): RMSRE = 0.0000000437, MAX_REL_ERROR = 0.0000001325, WORST_INPUT = 44398895104.0000000000000000000000000
Test (Newton = 2, ADDR_W = 9, WORD_W = 12, II = 1): RMSRE = 0.0000000439, MAX_REL_ERROR = 0.0000001352, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 2, ADDR_W = 9, WORD_W = 10, II = 1): RMSRE = 0.0000000438, MAX_REL_ERROR = 0.0000001309, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 2, ADDR_W = 9, WORD_W = 8, II = 1): RMSRE = 0.0000000460, MAX_REL_ERROR = 0.0000001345, WORST_INPUT = 1146766272866533133778944.0000000000000000000000000
Test (Newton = 2, ADDR_W = 9, WORD_W = 6, II = 1): RMSRE = 0.0000000468, MAX_REL_ERROR = 0.0000001358, WORST_INPUT = 0.0000000000000000531432739
Test (Newton = 2, ADDR_W = 8, WORD_W = 16, II = 1): RMSRE = 0.0000000454, MAX_REL_ERROR = 0.0000001356, WORST_INPUT = 0.0000097617712526698596776
Test (Newton = 2, ADDR_W = 8, WORD_W = 14, II = 1): RMSRE = 0.0000000455, MAX_REL_ERROR = 0.0000001365, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 2, ADDR_W = 8, WORD_W = 12, II = 1): RMSRE = 0.0000000452, MAX_REL_ERROR = 0.0000001345, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 2, ADDR_W = 8, WORD_W = 10, II = 1): RMSRE = 0.0000000460, MAX_REL_ERROR = 0.0000001381, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 2, ADDR_W = 8, WORD_W = 8, II = 1): RMSRE = 0.0000000458, MAX_REL_ERROR = 0.0000001362, WORST_INPUT = 0.0000000001789096093496312
Test (Newton = 2, ADDR_W = 8, WORD_W = 6, II = 1): RMSRE = 0.0000000469, MAX_REL_ERROR = 0.0000001415, WORST_INPUT = 1066268859079985075950022534627328.0000000000000000000000000
Test (Newton = 2, ADDR_W = 7, WORD_W = 16, II = 1): RMSRE = 0.0000000461, MAX_REL_ERROR = 0.0000001349, WORST_INPUT = 78040339239529386653693842257084416.0000000000000000000000000
Test (Newton = 2, ADDR_W = 7, WORD_W = 14, II = 1): RMSRE = 0.0000000463, MAX_REL_ERROR = 0.0000001406, WORST_INPUT = 1254186962431367891287744314175651840.0000000000000000000000000
Test (Newton = 2, ADDR_W = 7, WORD_W = 12, II = 1): RMSRE = 0.0000000467, MAX_REL_ERROR = 0.0000001390, WORST_INPUT = 232081840.0000000000000000000000000
Test (Newton = 2, ADDR_W = 7, WORD_W = 10, II = 1): RMSRE = 0.0000000467, MAX_REL_ERROR = 0.0000001398, WORST_INPUT = 63444761968640.0000000000000000000000000
Test (Newton = 2, ADDR_W = 7, WORD_W = 8, II = 1): RMSRE = 0.0000000461, MAX_REL_ERROR = 0.0000001416, WORST_INPUT = 286254863167966421188608.0000000000000000000000000
Test (Newton = 2, ADDR_W = 7, WORD_W = 6, II = 1): RMSRE = 0.0000000471, MAX_REL_ERROR = 0.0000001494, WORST_INPUT = 0.0000572516692045610398054
