NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,LUT,DSP,RMSRE
0,6,6,14,0,0.0046347644
0,6,8,16,0,0.0033404519
0,6,10,18,0,0.0031889492
0,6,12,20,0,0.0031841501
0,6,14,22,0,0.0031953461
0,6,16,24,0,0.0032030304
0,7,6,20,0,0.0036235341
0,7,8,26,0,0.0017936578
0,7,10,30,0,0.0016010837
0,7,12,35,0,0.0016041241
0,7,14,40,0,0.0016081903
0,7,16,45,0,0.0016156001
0,8,6,29,0,0.0034642402
0,8,8,41,0,0.0011505713
0,8,10,50,0,0.000828356
0,8,12,62,0,0.0008032965
0,8,14,69,0,0.0007908521
0,8,16,79,0,0.0007923881
0,9,6,48,0,0.0034009606
0,9,8,69,0,0.0009267533
0,9,10,90,0,0.0004486702
0,9,12,112,0,0.0004032889
0,9,14,132,0,0.0003996969
0,9,16,152,0,0.0003991725
0,10,6,73,0,0.0033723822
0,10,8,118,0,0.0008661338
0,10,10,157,0,0.0002933542
0,10,12,210,0,0.0002065577
0,10,14,239,0,0.0002017272
0,10,16,284,0,0.0001991893
0,11,6,91,0,0.0034020901
0,11,8,178,0,0.0008511987
0,11,10,259,0,0.0002344148
0,11,12,349,0,0.0001139903
0,11,14,457,0,9.97154e-05
0,11,16,522,0,9.91911e-05
1,6,6,36,3,4.9173e-05
1,6,8,40,3,2.44321e-05
1,6,10,46,3,2.22661e-05
1,6,12,52,3,2.21707e-05
1,6,14,58,3,2.21839e-05
1,6,16,62,3,2.18682e-05
1,7,6,42,3,2.96928e-05
1,7,8,50,3,7.5034e-06
1,7,10,58,3,5.6435e-06
1,7,12,67,3,5.4829e-06
1,7,14,76,3,5.5344e-06
1,7,16,83,3,5.4912e-06
1,8,6,51,3,2.64211e-05
1,8,8,65,3,3.1592e-06
1,8,10,77,3,1.4983e-06
1,8,12,93,3,1.4054e-06
1,8,14,104,3,1.3821e-06
1,8,16,117,3,1.3686e-06
1,9,6,69,3,2.5642e-05
1,9,8,92,3,1.9561e-06
1,9,10,116,3,4.61e-07
1,9,12,144,3,3.575e-07
1,9,14,167,3,3.494e-07
1,9,16,189,3,3.458e-07
1,10,6,94,3,2.47907e-05
1,10,8,142,3,1.6746e-06
1,10,10,184,3,2.029e-07
1,10,12,241,3,1.027e-07
1,10,14,274,3,9.53e-08
1,10,16,320,3,9.55e-08
1,11,6,112,3,2.46197e-05
1,11,8,202,3,1.5689e-06
1,11,10,285,3,1.304e-07
1,11,12,378,3,5.07e-08
1,11,14,491,3,4.63e-08
1,11,16,556,3,4.58e-08
2,6,6,84,6,4.78e-08
2,6,8,88,6,4.7e-08
2,6,10,94,6,4.67e-08
2,6,12,100,6,4.72e-08
2,6,14,106,6,4.65e-08
2,6,16,110,6,4.66e-08
2,7,6,90,6,4.71e-08
2,7,8,98,6,4.61e-08
2,7,10,106,6,4.67e-08
2,7,12,115,6,4.67e-08
2,7,14,124,6,4.63e-08
2,7,16,131,6,4.61e-08
2,8,6,99,6,4.69e-08
2,8,8,113,6,4.58e-08
2,8,10,125,6,4.6e-08
2,8,12,141,6,4.52e-08
2,8,14,152,6,4.55e-08
2,8,16,165,6,4.54e-08
2,9,6,117,6,4.68e-08
2,9,8,140,6,4.6e-08
2,9,10,164,6,4.38e-08
2,9,12,192,6,4.39e-08
2,9,14,215,6,4.37e-08
2,9,16,237,6,4.34e-08
2,10,6,142,6,4.73e-08
2,10,8,190,6,4.56e-08
2,10,10,232,6,4.25e-08
2,10,12,289,6,4.11e-08
2,10,14,322,6,4.14e-08
2,10,16,369,6,4.06e-08
2,11,6,160,6,4.72e-08
2,11,8,250,6,4.53e-08
2,11,10,335,6,4.13e-08
2,11,12,427,6,3.77e-08
2,11,14,539,6,3.77e-08
2,11,16,605,6,3.77e-08
