Test (EXP = BIT_HACKING [A=12102203, D=1065277304], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2): RMSRE = 0.0193736821, MAX_REL_ERROR = 0.0454124773, WORST_INPUT = 1.4735143184661865234375000 (elements = 29200)
Test (EXP = BIT_HACKING [A=12102203, D=1065277304], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):         RMSRE = 0.0192889052, MAX_REL_ERROR = 0.0449574689, WORST_INPUT = -3.0083751678466796875000000 (elements = 29061)
Test (EXP = BIT_HACKING [A=12102203, D=1065277304], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):           RMSRE = 0.0192025379, MAX_REL_ERROR = 0.0436384534, WORST_INPUT = -6.4174981117248535156250000 (elements = 29084)
Test (EXP = BIT_HACKING [A=12102203, D=1065277304], REC = BIPARTITE [NEWTON=1, WW=18, AW0/1/2=5/6/6], N = 64, SIMD = 2): RMSRE = 0.0190346655, MAX_REL_ERROR = 0.0440927100, WORST_INPUT = -3.6965734958648681640625000 (elements = 29041)
Test (EXP =    LOOKUP [WW=8, AW=8], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2):                 RMSRE = 0.0016362929, MAX_REL_ERROR = 0.0063833671, WORST_INPUT = -1.0282930135726928710937500 (elements = 29055)
Test (EXP =    LOOKUP [WW=8, AW=8], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):                         RMSRE = 0.0011878046, MAX_REL_ERROR = 0.0039415886, WORST_INPUT = -5.1769380569458007812500000 (elements = 29124)
Test (EXP =    LOOKUP [WW=8, AW=8], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):                           RMSRE = 0.0011772466, MAX_REL_ERROR = 0.0037546307, WORST_INPUT = -3.7617359161376953125000000 (elements = 29050)
Test (EXP =    LOOKUP [WW=8, AW=8], REC = BIPARTITE [NEWTON=1, WW=18, AW0/1/2=4/6/6], N = 64, SIMD = 2):                 RMSRE = 0.0011698792, MAX_REL_ERROR = 0.0036612448, WORST_INPUT = -1.8055378198623657226562500 (elements = 28925)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2):       RMSRE = 0.0010850540, MAX_REL_ERROR = 0.0035737489, WORST_INPUT = 3.9044442176818847656250000 (elements = 29149)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):               RMSRE = 0.0001372060, MAX_REL_ERROR = 0.0006112860, WORST_INPUT = -0.3225932717323303222656250 (elements = 29054)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):                 RMSRE = 0.0000954833, MAX_REL_ERROR = 0.0004691260, WORST_INPUT = -3.6243879795074462890625000 (elements = 28970)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC = BIPARTITE [NEWTON=1, WW=18, AW0/1/2=4/6/6], N = 64, SIMD = 2):       RMSRE = 0.0000958107, MAX_REL_ERROR = 0.0004851376, WORST_INPUT = -0.9137018918991088867187500 (elements = 29114)
Test (EXP = SPLITTING [WW=22, AW0/1/2=6/5/6], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2):       RMSRE = 0.0011407536, MAX_REL_ERROR = 0.0036759119, WORST_INPUT = 0.4719401597976684570312500 (elements = 29030)
Test (EXP = SPLITTING [WW=22, AW0/1/2=6/5/6], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):               RMSRE = 0.0001009168, MAX_REL_ERROR = 0.0002309914, WORST_INPUT = -3.7001833915710449218750000 (elements = 29072)
Test (EXP = SPLITTING [WW=22, AW0/1/2=6/5/6], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):                 RMSRE = 0.0000023824, MAX_REL_ERROR = 0.0000091759, WORST_INPUT = -1.9293997287750244140625000 (elements = 29008)
Test (EXP = SPLITTING [WW=22, AW0/1/2=6/5/6], REC = BIPARTITE [NEWTON=1, WW=18, AW0/1/2=4/6/6], N = 64, SIMD = 2):       RMSRE = 0.0000018700, MAX_REL_ERROR = 0.0000065975, WORST_INPUT = -0.7508656382560729980468750 (elements = 29263)
