Test (EXP = BIT_HACKING [A=12102203, D=1064866072], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2): RMSRE = 0.0194088375, MAX_REL_ERROR = 0.0448471090, WORST_INPUT = -1.2524176836013793945312500 (elements = 29218)
Test (EXP = BIT_HACKING [A=12102203, D=1064866072], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):         RMSRE = 0.0193145144, MAX_REL_ERROR = 0.0445409090, WORST_INPUT = -4.6625428199768066406250000 (elements = 29059)
Test (EXP = BIT_HACKING [A=12102203, D=1064866072], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):           RMSRE = 0.0189309496, MAX_REL_ERROR = 0.0435283136, WORST_INPUT = 1.1623319387435913085937500 (elements = 28919)
Test (EXP = BIT_HACKING [A=12102203, D=1064866072], REC = BIPARTITE [NEWTON=1, WW=18, AW0/1/2=4/6/6], N = 64, SIMD = 2): RMSRE = 0.0192466955, MAX_REL_ERROR = 0.0424799353, WORST_INPUT = -2.0268032550811767578125000 (elements = 29146)
Test (EXP =    LOOKUP [WW=8, AW=8], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2):                 RMSRE = 0.0016224882, MAX_REL_ERROR = 0.0062745677, WORST_INPUT = -4.2484111785888671875000000 (elements = 29061)
Test (EXP =    LOOKUP [WW=8, AW=8], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):                         RMSRE = 0.0011768550, MAX_REL_ERROR = 0.0037937371, WORST_INPUT = -5.7399020195007324218750000 (elements = 29116)
Test (EXP =    LOOKUP [WW=8, AW=8], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):                           RMSRE = 0.0011715347, MAX_REL_ERROR = 0.0035555238, WORST_INPUT = -3.9122507572174072265625000 (elements = 29096)
Test (EXP =    LOOKUP [WW=8, AW=8], REC = BIPARTITE [NEWTON=1, WW=18, AW0/1/2=4/6/6], N = 64, SIMD = 2):                 RMSRE = 0.0011741454, MAX_REL_ERROR = 0.0035318903, WORST_INPUT = -3.6618242263793945312500000 (elements = 29064)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2):       RMSRE = 0.0010663968, MAX_REL_ERROR = 0.0042294253, WORST_INPUT = 1.2946202754974365234375000 (elements = 29075)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):               RMSRE = 0.0001395453, MAX_REL_ERROR = 0.0006021972, WORST_INPUT = -0.1939439177513122558593750 (elements = 29020)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):                 RMSRE = 0.0000957486, MAX_REL_ERROR = 0.0004950880, WORST_INPUT = 1.1757695674896240234375000 (elements = 29111)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC = BIPARTITE [NEWTON=1, WW=18, AW0/1/2=4/6/6], N = 64, SIMD = 2):       RMSRE = 0.0000953897, MAX_REL_ERROR = 0.0004953601, WORST_INPUT = -0.2782199084758758544921875 (elements = 29057)
Test (EXP = SPLITTING [WW=22, AW0/1/2=6/5/6], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2):       RMSRE = 0.0011222907, MAX_REL_ERROR = 0.0043724694, WORST_INPUT = -2.5544934272766113281250000 (elements = 29130)
Test (EXP = SPLITTING [WW=22, AW0/1/2=6/5/6], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):               RMSRE = 0.0001056593, MAX_REL_ERROR = 0.0002271574, WORST_INPUT = 2.0685992240905761718750000 (elements = 29028)
Test (EXP = SPLITTING [WW=22, AW0/1/2=6/5/6], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):                 RMSRE = 0.0000020829, MAX_REL_ERROR = 0.0000083031, WORST_INPUT = 0.5729329586029052734375000 (elements = 29081)
Test (EXP = SPLITTING [WW=22, AW0/1/2=6/5/6], REC = BIPARTITE [NEWTON=1, WW=18, AW0/1/2=4/6/6], N = 64, SIMD = 2):       RMSRE = 0.0000018797, MAX_REL_ERROR = 0.0000069465, WORST_INPUT = 0.7534384131431579589843750 (elements = 29102)
