exp_method,rec_method,rmsre_exp,rmsre_rec,rmsre_softmax_measured,rmsre_softmax_theoretical,rel_diff,rel_diff_percent,rel_diff_absolute_percent
"BIT_HACKING(A=12102203,D=1064866072)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",1.790955e-02,1.057613e-03,1.940884e-02,1.834405e-02,-0.0549,-5.49%,5.49%
"BIT_HACKING(A=12102203,D=1064866072)","LOOKUP(NEWTON=0,AW=11,WW=16)",1.790955e-02,9.986526e-05,1.931451e-02,1.831381e-02,-0.0518,-5.18%,5.18%
"BIT_HACKING(A=12102203,D=1064866072)","LOOKUP(NEWTON=1,AW=9,WW=8)",1.790955e-02,9.902895e-07,1.893095e-02,1.831354e-02,-0.0326,-3.26%,3.26%
"BIT_HACKING(A=12102203,D=1064866072)","BIPARTITE(NEWTON=1,AW0/1/2=4/6/6,WW=18)",1.790955e-02,4.845592e-08,1.924670e-02,1.831354e-02,-0.0485,-4.85%,4.85%
"LOOKUP(AW=8,WW=8)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",1.172048e-03,1.057613e-03,1.622488e-03,1.598410e-03,-0.0148,-1.48%,1.48%
"LOOKUP(AW=8,WW=8)","LOOKUP(NEWTON=0,AW=11,WW=16)",1.172048e-03,9.986526e-05,1.176855e-03,1.202640e-03,+0.0219,+2.19%,2.19%
"LOOKUP(AW=8,WW=8)","LOOKUP(NEWTON=1,AW=9,WW=8)",1.172048e-03,9.902895e-07,1.171535e-03,1.198487e-03,+0.0230,+2.30%,2.30%
"LOOKUP(AW=8,WW=8)","BIPARTITE(NEWTON=1,AW0/1/2=4/6/6,WW=18)",1.172048e-03,4.845592e-08,1.174145e-03,1.198486e-03,+0.0207,+2.07%,2.07%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",9.280045e-05,1.057613e-03,1.066397e-03,1.061862e-03,-0.0043,-0.43%,0.43%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","LOOKUP(NEWTON=0,AW=11,WW=16)",9.280045e-05,9.986526e-05,1.395453e-04,1.377604e-04,-0.0128,-1.28%,1.28%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","LOOKUP(NEWTON=1,AW=9,WW=8)",9.280045e-05,9.902895e-07,9.574860e-05,9.489914e-05,-0.0089,-0.89%,0.89%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","BIPARTITE(NEWTON=1,AW0/1/2=4/6/6,WW=18)",9.280045e-05,4.845592e-08,9.538970e-05,9.489398e-05,-0.0052,-0.52%,0.52%
"SPLITTING(AW0/1/2=6/5/6,WW=22)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",1.901869e-06,1.057613e-03,1.122291e-03,1.057615e-03,-0.0576,-5.76%,5.76%
"SPLITTING(AW0/1/2=6/5/6,WW=22)","LOOKUP(NEWTON=0,AW=11,WW=16)",1.901869e-06,9.986526e-05,1.056593e-04,9.988438e-05,-0.0547,-5.47%,5.47%
"SPLITTING(AW0/1/2=6/5/6,WW=22)","LOOKUP(NEWTON=1,AW=9,WW=8)",1.901869e-06,9.902895e-07,2.082900e-06,2.190797e-06,+0.0518,+5.18%,5.18%
"SPLITTING(AW0/1/2=6/5/6,WW=22)","BIPARTITE(NEWTON=1,AW0/1/2=4/6/6,WW=18)",1.901869e-06,4.845592e-08,1.879700e-06,1.954806e-06,+0.0400,+4.00%,4.00%
