ADDR_WIDTH,WORD_WIDTH,LUT,DSP,RMSRE
6,6,151,1,0.00441453
6,8,153,1,0.003233879
6,10,155,1,0.003129969
6,12,157,1,0.003122236
6,14,159,1,0.003122232
6,16,161,1,0.003122151
7,6,158,1,0.003668518
7,8,163,1,0.001766591
7,10,168,1,0.001580245
7,12,174,1,0.001566018
7,14,178,1,0.001565112
7,16,183,1,0.001565172
8,6,167,1,0.003423287
8,8,176,1,0.001172048
8,10,190,1,0.0008135303
8,12,200,1,0.0007847817
8,14,210,1,0.0007832339
8,16,218,1,0.0007833634
9,6,183,1,0.0033627
9,8,204,1,0.000919285
9,10,226,1,0.0004381225
9,12,246,1,0.00039236
9,14,266,1,0.0003893913
9,16,289,1,0.0003891114
10,6,200,1,0.003346962
10,8,252,1,0.000856097
10,10,289,1,0.0002878296
10,12,356,1,0.0002027638
10,14,382,1,0.0001963314
10,16,410,1,0.0001958873
11,6,223,1,0.003341921
11,8,309,1,0.0008385589
11,10,392,1,0.0002283711
11,12,525,1,0.0001111554
11,14,566,1,9.883693e-05
11,16,651,1,9.799947e-05
