exp_method,rec_method,rmsre_exp,rmsre_rec,rmsre_softmax_measured,rmsre_softmax_theoretical,rel_diff,rel_diff_percent,rel_diff_absolute_percent
"BIT_HACKING(A=12102203,D=1065277304)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",1.790955e-02,1.057613e-03,1.940884e-02,1.794075e-02,-0.0756,-7.56%,7.56%
"BIT_HACKING(A=12102203,D=1065277304)","LOOKUP(NEWTON=0,AW=11,WW=16)",1.790955e-02,9.986526e-05,1.931451e-02,1.790983e-02,-0.0727,-7.27%,7.27%
"BIT_HACKING(A=12102203,D=1065277304)","LOOKUP(NEWTON=1,AW=9,WW=8)",1.790955e-02,9.902895e-07,1.893068e-02,1.790955e-02,-0.0539,-5.39%,5.39%
"BIT_HACKING(A=12102203,D=1065277304)","BIPARTITE(NEWTON=1,AW0/1/2=4/6/6,WW=18)",1.790955e-02,4.845592e-08,1.924670e-02,1.790955e-02,-0.0695,-6.95%,6.95%
"LOOKUP(AW=8,WW=8)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",1.172048e-03,1.057613e-03,1.622488e-03,1.578684e-03,-0.0270,-2.70%,2.70%
"LOOKUP(AW=8,WW=8)","LOOKUP(NEWTON=0,AW=11,WW=16)",1.172048e-03,9.986526e-05,1.176855e-03,1.176295e-03,-0.0005,-0.05%,0.05%
"LOOKUP(AW=8,WW=8)","LOOKUP(NEWTON=1,AW=9,WW=8)",1.172048e-03,9.902895e-07,1.171522e-03,1.172048e-03,+0.0004,+0.04%,0.04%
"LOOKUP(AW=8,WW=8)","BIPARTITE(NEWTON=1,AW0/1/2=4/6/6,WW=18)",1.172048e-03,4.845592e-08,1.174145e-03,1.172048e-03,-0.0018,-0.18%,0.18%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",9.280045e-05,1.057613e-03,1.066397e-03,1.061677e-03,-0.0044,-0.44%,0.44%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","LOOKUP(NEWTON=0,AW=11,WW=16)",9.280045e-05,9.986526e-05,1.395453e-04,1.363268e-04,-0.0231,-2.31%,2.31%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","LOOKUP(NEWTON=1,AW=9,WW=8)",9.280045e-05,9.902895e-07,9.581190e-05,9.280573e-05,-0.0314,-3.14%,3.14%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","BIPARTITE(NEWTON=1,AW0/1/2=4/6/6,WW=18)",9.280045e-05,4.845592e-08,9.538970e-05,9.280046e-05,-0.0271,-2.71%,2.71%
"SPLITTING(AW0/1/2=6/5/6,WW=22)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",1.901869e-06,1.057613e-03,1.122291e-03,1.057615e-03,-0.0576,-5.76%,5.76%
"SPLITTING(AW0/1/2=6/5/6,WW=22)","LOOKUP(NEWTON=0,AW=11,WW=16)",1.901869e-06,9.986526e-05,1.056593e-04,9.988337e-05,-0.0547,-5.47%,5.47%
"SPLITTING(AW0/1/2=6/5/6,WW=22)","LOOKUP(NEWTON=1,AW=9,WW=8)",1.901869e-06,9.902895e-07,2.427500e-06,2.144243e-06,-0.1167,-11.67%,11.67%
"SPLITTING(AW0/1/2=6/5/6,WW=22)","BIPARTITE(NEWTON=1,AW0/1/2=4/6/6,WW=18)",1.901869e-06,4.845592e-08,1.879700e-06,1.902486e-06,+0.0121,+1.21%,1.21%
