ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,RMSRE,max_rel_error
2,4,4,14,2.515395e-04,8.911549e-04
2,5,5,15,9.386671e-05,4.753955e-04
2,6,6,16,4.203710e-05,2.295697e-04
2,7,7,17,2.036566e-05,1.182802e-04
3,4,4,15,1.060269e-04,2.987630e-04
3,5,5,17,3.157576e-05,1.168988e-04
3,6,6,18,1.189493e-05,5.536953e-05
3,7,7,19,5.645660e-06,2.929164e-05
4,4,4,16,5.033107e-05,1.228106e-04
4,5,5,18,1.345055e-05,3.949530e-05
4,6,6,20,4.457451e-06,1.555416e-05
4,7,7,21,2.199204e-06,9.214345e-06
5,4,4,17,2.496986e-05,5.937487e-05
5,5,5,19,6.650881e-06,1.842226e-05
5,6,6,21,2.632193e-06,8.121569e-06
5,7,7,23,1.390178e-06,5.240223e-06
6,4,4,18,1.255936e-05,3.022108e-05
6,5,5,20,3.742675e-06,1.047490e-05
6,6,6,22,1.801292e-06,5.542890e-06
