ADDR_WIDTH,WORD_WIDTH,RMSRE,max_rel_error
6,6,4.431780e-03,1.245680e-02
6,8,3.210685e-03,6.997118e-03
6,10,3.132428e-03,5.859757e-03
6,12,3.127249e-03,5.528580e-03
6,14,3.126795e-03,5.455072e-03
6,16,3.126747e-03,5.441963e-03
7,6,3.667533e-03,1.013939e-02
7,8,1.761653e-03,4.547145e-03
7,10,1.570952e-03,3.105062e-03
7,12,1.560320e-03,2.811605e-03
7,14,1.559763e-03,2.740986e-03
7,16,1.559745e-03,2.719750e-03
8,6,3.419621e-03,8.824086e-03
8,8,1.163017e-03,3.127647e-03
8,10,8.085534e-04,1.799921e-03
8,12,7.847521e-04,1.465224e-03
8,14,7.831213e-04,1.380495e-03
8,16,7.830419e-04,1.361589e-03
9,6,3.365292e-03,8.087187e-03
9,8,9.108497e-04,2.547209e-03
9,10,4.414109e-04,1.131195e-03
9,12,3.941212e-04,7.864451e-04
9,14,3.911234e-04,7.057009e-04
9,16,3.909200e-04,6.851999e-04
10,6,3.348402e-03,8.089883e-03
10,8,8.508188e-04,2.184787e-03
10,10,2.875143e-04,8.205704e-04
10,12,2.021228e-04,4.479402e-04
10,14,1.957094e-04,3.677488e-04
10,16,1.952785e-04,3.489726e-04
11,6,3.344560e-03,7.787815e-03
11,8,8.340641e-04,2.072672e-03
11,10,2.290337e-04,6.382787e-04
11,12,1.109442e-04,2.897984e-04
11,14,9.848721e-05,1.971386e-04
11,16,9.763401e-05,1.790461e-04
