ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,RMSRE,max_rel_error
5,5,5,22,1.414334e-05,3.385724e-05
5,5,6,22,8.399227e-06,2.372351e-05
5,5,7,22,5.785827e-06,1.858908e-05
5,6,5,22,6.445349e-06,1.700926e-05
5,6,6,22,3.683082e-06,1.187484e-05
5,6,7,22,2.648025e-06,9.031158e-06
5,7,5,22,2.769845e-06,8.351860e-06
5,7,6,22,1.698134e-06,5.770347e-06
5,7,7,22,1.444892e-06,4.975396e-06
6,5,5,22,5.583983e-06,1.369163e-05
6,5,6,22,2.775211e-06,8.478220e-06
6,5,7,22,1.696485e-06,5.766101e-06
6,6,5,22,2.413773e-06,6.654697e-06
6,6,6,22,1.375540e-06,4.099413e-06
6,6,7,22,1.146536e-06,4.027831e-06
6,7,5,22,1.287762e-06,4.027831e-06
6,7,6,22,1.092952e-06,4.027831e-06
6,7,7,22,1.063297e-06,4.027831e-06
7,5,5,22,2.272562e-06,5.819468e-06
7,5,6,22,1.287965e-06,4.027831e-06
7,5,7,22,1.091238e-06,4.027831e-06
7,6,5,22,1.268678e-06,4.027831e-06
7,6,6,22,1.095208e-06,4.027831e-06
7,6,7,22,1.071985e-06,4.027831e-06
7,7,5,22,1.104915e-06,4.027831e-06
7,7,6,22,1.085252e-06,4.027831e-06
7,7,7,22,1.083247e-06,4.027831e-06
