NUM_NEWTON_STEPS,ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,RMSRE,max_rel_error
0,2,3,3,11,1.068728e-03,4.634163e-03
0,2,4,4,12,4.107992e-04,2.070675e-03
0,2,5,5,13,1.882719e-04,9.110015e-04
0,2,6,6,14,9.147795e-05,4.324132e-04
0,2,7,7,15,4.506498e-05,2.103530e-04
0,3,3,3,13,4.362955e-04,1.704462e-03
0,3,4,4,14,1.348261e-04,6.668598e-04
0,3,5,5,15,5.187148e-05,2.701295e-04
0,3,6,6,16,2.359834e-05,1.194651e-04
0,3,7,7,17,1.149383e-05,5.728268e-05
0,4,3,3,14,2.055342e-04,6.973775e-04
0,4,4,4,16,5.489595e-05,2.179582e-04
0,4,5,5,17,1.686220e-05,8.320848e-05
0,4,6,6,18,6.518152e-06,3.437221e-05
0,4,7,7,19,2.950319e-06,1.579570e-05
0,5,3,3,15,1.010053e-04,2.853884e-04
0,5,4,4,17,2.574804e-05,8.360082e-05
0,5,5,5,19,6.864644e-06,2.699084e-05
0,5,6,6,20,2.093365e-06,1.013357e-05
0,5,7,7,21,8.123573e-07,4.297899e-06
0,6,3,3,16,5.050462e-05,1.327998e-04
0,6,4,4,18,1.265969e-05,3.595516e-05
0,6,5,5,20,3.223586e-06,1.065714e-05
0,6,6,6,22,8.532496e-07,3.422843e-06
0,6,7,7,23,2.571051e-07,1.326640e-06
1,2,3,3,11,1.815523e-06,2.032530e-05
1,2,4,4,12,3.149056e-07,4.053306e-06
1,2,5,5,13,8.934454e-08,8.465675e-07
1,2,6,6,14,5.069299e-08,2.376992e-07
1,2,7,7,15,4.767863e-08,1.470813e-07
1,3,3,3,13,2.548805e-07,2.682383e-06
1,3,4,4,14,5.884575e-08,4.768598e-07
1,3,5,5,15,4.821501e-08,1.486598e-07
1,3,6,6,16,4.752272e-08,1.445257e-07
1,3,7,7,17,4.752796e-08,1.458441e-07
1,4,3,3,14,7.988845e-08,4.807093e-07
1,4,4,4,16,4.820118e-08,1.473775e-07
1,4,5,5,17,4.775962e-08,1.425040e-07
1,4,6,6,18,4.756996e-08,1.433469e-07
1,4,7,7,19,4.719530e-08,1.419237e-07
1,5,3,3,15,5.021171e-08,1.721934e-07
1,5,4,4,17,4.786521e-08,1.472011e-07
1,5,5,5,19,4.787218e-08,1.465472e-07
1,5,6,6,20,4.739927e-08,1.446003e-07
1,5,7,7,21,4.627733e-08,1.438605e-07
1,6,3,3,16,4.809065e-08,1.457549e-07
1,6,4,4,18,4.780705e-08,1.460879e-07
1,6,5,5,20,4.781200e-08,1.456265e-07
1,6,6,6,22,4.705689e-08,1.431132e-07
1,6,7,7,23,4.455486e-08,1.389658e-07
