NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,RMSRE,max_rel_error
0,6,6,4.802913e-03,1.122783e-02
0,6,8,3.299423e-03,8.322265e-03
0,6,10,3.200416e-03,7.812263e-03
0,6,12,3.194879e-03,7.806955e-03
0,6,14,3.194630e-03,7.775961e-03
0,6,16,3.194614e-03,7.768212e-03
0,7,6,3.755164e-03,9.030007e-03
0,7,8,1.831996e-03,4.545782e-03
0,7,10,1.610800e-03,4.048624e-03
0,7,12,1.596596e-03,3.906013e-03
0,7,14,1.596012e-03,3.901976e-03
0,7,16,1.595905e-03,3.894287e-03
0,8,6,3.532950e-03,8.329926e-03
0,8,8,1.170436e-03,2.852883e-03
0,8,10,8.259187e-04,2.101584e-03
0,8,12,8.002339e-04,1.980048e-03
0,8,14,7.984803e-04,1.952887e-03
0,8,16,7.983665e-04,1.949229e-03
0,9,6,3.476885e-03,8.078614e-03
0,9,8,9.495238e-04,2.369521e-03
0,9,10,4.564498e-04,1.173172e-03
0,9,12,4.026869e-04,1.013285e-03
0,9,14,3.988935e-04,9.824696e-04
0,9,16,3.986926e-04,9.763243e-04
0,10,6,3.455189e-03,7.812263e-03
0,10,8,8.832565e-04,2.110749e-03
0,10,10,2.912615e-04,7.146136e-04
0,10,12,2.066157e-04,5.336208e-04
0,10,14,2.001341e-04,4.920594e-04
0,10,16,1.997266e-04,4.880429e-04
0,11,6,3.452534e-03,7.812263e-03
0,11,8,8.666238e-04,2.029419e-03
0,11,10,2.377722e-04,5.962295e-04
0,11,12,1.142964e-04,2.992180e-04
0,11,14,1.012013e-04,2.547572e-04
0,11,16,1.003585e-04,2.460674e-04
1,6,6,2.615850e-05,1.026860e-04
1,6,8,1.173572e-05,5.836898e-05
1,6,10,1.077600e-05,5.084276e-05
1,6,12,1.072677e-05,5.049665e-05
1,6,14,1.072301e-05,5.001237e-05
1,6,16,1.072285e-05,4.989130e-05
1,7,6,1.526012e-05,6.772902e-05
1,7,8,3.755692e-06,1.735049e-05
1,7,10,2.761603e-06,1.383709e-05
1,7,12,2.688287e-06,1.263618e-05
1,7,14,2.685982e-06,1.250091e-05
1,7,16,2.685493e-06,1.245737e-05
1,8,6,1.316727e-05,5.706287e-05
1,8,8,1.568939e-06,6.667870e-06
1,8,10,7.357693e-07,3.787113e-06
1,8,12,6.773777e-07,3.227463e-06
1,8,14,6.735587e-07,3.099605e-06
1,8,16,6.734323e-07,3.099442e-06
1,9,6,1.255193e-05,5.309014e-05
1,9,8,9.920150e-07,4.697402e-06
1,9,10,2.394901e-07,1.201282e-06
1,9,12,1.933321e-07,8.590210e-07
1,9,14,1.911802e-07,7.633672e-07
1,9,16,1.911472e-07,7.513573e-07
1,10,6,1.233922e-05,4.923344e-05
1,10,8,8.181471e-07,3.871344e-06
1,10,10,1.384294e-07,5.908501e-07
1,10,12,7.908161e-08,3.498119e-07
1,10,14,7.508477e-08,3.416339e-07
1,10,16,7.496291e-08,3.151753e-07
1,11,6,1.230687e-05,4.923344e-05
1,11,8,7.756683e-07,3.442945e-06
1,11,10,9.567643e-08,4.576272e-07
1,11,12,5.197019e-08,1.931062e-07
1,11,14,5.041848e-08,1.689464e-07
1,11,16,5.023112e-08,1.689464e-07
