method,params,rmsre,lut,dsp
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=7;ADDR_WIDTH_2=7;WORD_WIDTH=22,1.063297e-06,240,2
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=7;ADDR_WIDTH_2=6;WORD_WIDTH=22,1.092952e-06,228,2
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=6;ADDR_WIDTH_2=7;WORD_WIDTH=22,1.146536e-06,220,2
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=6;ADDR_WIDTH_2=6;WORD_WIDTH=22,1.375540e-06,206,2
exp_bipartite,ADDR_WIDTH_0=4;ADDR_WIDTH_1=7;ADDR_WIDTH_2=7;WORD_WIDTH=21,2.199204e-06,1254,1
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=6;ADDR_WIDTH_2=5;WORD_WIDTH=22,2.413773e-06,201,2
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=5;ADDR_WIDTH_2=6;WORD_WIDTH=22,2.775211e-06,200,2
exp_splitting,ADDR_WIDTH_0=5;ADDR_WIDTH_1=6;ADDR_WIDTH_2=6;WORD_WIDTH=22,3.683082e-06,198,2
exp_bipartite,ADDR_WIDTH_0=4;ADDR_WIDTH_1=6;ADDR_WIDTH_2=6;WORD_WIDTH=20,4.457451e-06,699,1
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=22,5.583983e-06,195,2
exp_splitting,ADDR_WIDTH_0=5;ADDR_WIDTH_1=6;ADDR_WIDTH_2=5;WORD_WIDTH=22,6.445349e-06,193,2
exp_splitting,ADDR_WIDTH_0=5;ADDR_WIDTH_1=5;ADDR_WIDTH_2=6;WORD_WIDTH=22,8.399227e-06,191,2
exp_bipartite,ADDR_WIDTH_0=3;ADDR_WIDTH_1=6;ADDR_WIDTH_2=6;WORD_WIDTH=18,1.189493e-05,415,1
exp_splitting,ADDR_WIDTH_0=5;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=22,1.414334e-05,185,2
exp_bipartite,ADDR_WIDTH_0=3;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=17,3.157576e-05,283,1
exp_bipartite,ADDR_WIDTH_0=2;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=15,9.386671e-05,217,1
exp_bipartite,ADDR_WIDTH_0=2;ADDR_WIDTH_1=4;ADDR_WIDTH_2=4;WORD_WIDTH=14,2.515395e-04,181,1
exp_lookup,ADDR_WIDTH=8;WORD_WIDTH=8,1.163017e-03,176,1
exp_lookup,ADDR_WIDTH=7;WORD_WIDTH=12,1.560320e-03,174,1
exp_lookup,ADDR_WIDTH=7;WORD_WIDTH=10,1.570952e-03,168,1
exp_lookup,ADDR_WIDTH=7;WORD_WIDTH=8,1.761653e-03,163,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=16,3.126747e-03,161,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=14,3.126795e-03,159,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=12,3.127249e-03,157,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=10,3.132428e-03,155,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=8,3.210685e-03,153,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=6,4.431780e-03,151,1
