method,params,rmsre,lut,dsp
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=10;WORD_WIDTH=10,1.384294e-07,177,1
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=9;WORD_WIDTH=14,1.911802e-07,162,1
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=9;WORD_WIDTH=12,1.933321e-07,137,1
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=9;WORD_WIDTH=10,2.394901e-07,114,1
rec_bipartite,NUM_NEWTON_STEPS=1;ADDR_WIDTH_0=2;ADDR_WIDTH_1=4;ADDR_WIDTH_2=4;WORD_WIDTH=12,3.149056e-07,57,2
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=8;WORD_WIDTH=14,6.735587e-07,102,1
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=8;WORD_WIDTH=12,6.773777e-07,89,1
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=8;WORD_WIDTH=10,7.357693e-07,77,1
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=8;WORD_WIDTH=8,1.568939e-06,62,1
rec_bipartite,NUM_NEWTON_STEPS=1;ADDR_WIDTH_0=2;ADDR_WIDTH_1=3;ADDR_WIDTH_2=3;WORD_WIDTH=11,1.815523e-06,44,2
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=5;ADDR_WIDTH_1=6;ADDR_WIDTH_2=6;WORD_WIDTH=20,2.093365e-06,1062,0
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=7;WORD_WIDTH=10,2.761603e-06,56,1
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=7;WORD_WIDTH=8,3.755692e-06,48,1
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=4;ADDR_WIDTH_1=6;ADDR_WIDTH_2=6;WORD_WIDTH=18,6.518152e-06,478,0
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=6;WORD_WIDTH=12,1.072677e-05,47,1
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=6;WORD_WIDTH=10,1.077600e-05,42,1
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=6;WORD_WIDTH=8,1.173572e-05,37,1
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=4;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=17,1.686220e-05,257,0
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=6;WORD_WIDTH=6,2.615850e-05,34,1
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=3;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=15,5.187148e-05,125,0
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=3;ADDR_WIDTH_1=4;ADDR_WIDTH_2=4;WORD_WIDTH=14,1.348261e-04,71,0
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=2;ADDR_WIDTH_1=4;ADDR_WIDTH_2=4;WORD_WIDTH=12,4.107992e-04,36,0
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=2;ADDR_WIDTH_1=3;ADDR_WIDTH_2=3;WORD_WIDTH=11,1.068728e-03,26,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=7;WORD_WIDTH=8,1.831996e-03,25,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=16,3.194614e-03,22,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=14,3.194630e-03,21,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=12,3.194879e-03,18,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=10,3.200416e-03,16,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=8,3.299423e-03,14,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=6,4.802913e-03,13,0
