SIMD,ADDR_WIDTH,WORD_WIDTH,EXCLUDE_POS,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
1,6,6,0,4.0,1.795,2.205,454,99,151,1,0,0
1,6,8,0,4.0,1.867,2.133,469,101,153,1,0,0
1,6,10,0,4.0,1.749,2.251,444,103,155,1,0,0
1,6,12,0,4.0,1.799,2.201,454,105,157,1,0,0
1,6,14,0,4.0,1.817,2.183,458,107,159,1,0,0
1,6,16,0,4.0,1.777,2.223,450,109,161,1,0,0
1,7,6,0,4.0,1.815,2.185,458,100,158,1,0,0
1,7,8,0,4.0,1.706,2.294,436,102,163,1,0,0
1,7,10,0,4.0,1.764,2.236,447,104,168,1,0,0
1,7,12,0,4.0,1.669,2.331,429,106,174,1,0,0
1,7,14,0,4.0,1.904,2.096,477,108,178,1,0,0
1,7,16,0,4.0,1.889,2.111,474,110,183,1,0,0
1,8,6,0,4.0,1.660,2.34,427,101,167,1,0,0
1,8,8,0,4.0,1.682,2.318,431,103,176,1,0,0
1,8,10,0,4.0,1.740,2.26,442,105,190,1,0,0
1,8,12,0,4.0,1.859,2.141,467,107,200,1,0,0
1,8,14,0,4.0,1.846,2.154,464,109,210,1,0,0
1,8,16,0,4.0,1.788,2.212,452,111,218,1,0,0
1,9,6,0,4.0,1.959,2.041,490,102,183,1,0,0
1,9,8,0,4.0,1.709,2.291,436,104,204,1,0,0
1,9,10,0,4.0,1.867,2.133,469,106,226,1,0,0
1,9,12,0,4.0,1.782,2.218,451,108,246,1,0,0
1,9,14,0,4.0,1.842,2.158,463,110,266,1,0,0
1,9,16,0,4.0,1.950,2.05,488,112,289,1,0,0
1,10,6,0,4.0,1.746,2.254,444,103,200,1,0,0
1,10,8,0,4.0,1.820,2.18,459,105,252,1,0,0
1,10,10,0,4.0,1.767,2.233,448,107,289,1,0,0
1,10,12,0,4.0,1.855,2.145,466,109,356,1,0,0
1,10,14,0,4.0,1.573,2.427,412,111,382,1,0,0
1,10,16,0,4.0,1.673,2.327,430,118,410,1,0,0
1,11,6,0,4.0,1.846,2.154,464,104,223,1,0,0
1,11,8,0,4.0,1.854,2.146,466,106,309,1,0,0
1,11,10,0,4.0,1.715,2.285,438,108,392,1,0,0
1,11,12,0,4.0,1.546,2.454,407,116,525,1,0,0
1,11,14,0,4.0,1.820,2.18,459,123,566,1,0,0
1,11,16,0,4.0,1.759,2.241,446,126,651,1,0,0
