SIMD,ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,RAM_STYLE,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
1,5,5,5,22,"distributed",4.0,1.892,2.108,474,165,185,2,0,0
1,5,5,6,22,"distributed",4.0,1.734,2.266,441,166,191,2,0,0
1,5,6,5,22,"distributed",4.0,1.784,2.216,451,165,193,2,0,0
1,5,6,6,22,"distributed",4.0,1.803,2.197,455,166,198,2,0,0
1,6,5,5,22,"distributed",4.0,1.875,2.125,471,164,195,2,0,0
1,6,5,6,22,"distributed",4.0,1.770,2.23,448,165,200,2,0,0
1,6,6,5,22,"distributed",4.0,1.688,2.312,433,164,201,2,0,0
1,6,6,6,22,"distributed",4.0,1.855,2.145,466,165,206,2,0,0
1,6,6,7,22,"distributed",4.0,1.722,2.278,439,166,220,2,0,0
1,6,7,6,22,"distributed",4.0,1.934,2.066,484,165,228,2,0,0
1,6,7,7,22,"distributed",4.0,1.755,2.245,445,166,240,2,0,0
1,7,6,6,22,"distributed",4.0,1.921,2.079,481,164,236,2,0,0
1,7,6,7,22,"distributed",4.0,1.677,2.323,430,165,248,2,0,0
1,7,7,6,22,"distributed",4.0,1.792,2.208,453,164,256,2,0,0
1,7,7,7,22,"distributed",4.0,1.779,2.221,450,165,265,2,0,0
