NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,SUSTAINABLE_INTERVAL,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
0,6,6,32,4.0,2.872,1.128,887,15,13,0,0,0
0,6,8,32,4.0,2.937,1.063,941,17,14,0,0,0
0,6,10,32,4.0,2.804,1.196,836,19,16,0,0,0
0,6,12,32,4.0,2.794,1.206,829,21,18,0,0,0
0,6,14,32,4.0,2.782,1.218,821,23,21,0,0,0
0,6,16,32,4.0,2.863,1.137,880,25,22,0,0,0
0,7,6,32,4.0,2.810,1.19,840,15,18,0,0,0
0,7,8,32,4.0,2.768,1.232,812,17,25,0,0,0
0,7,10,32,4.0,2.836,1.164,859,19,29,0,0,0
0,7,12,32,4.0,2.779,1.221,819,21,35,0,0,0
0,7,14,32,4.0,2.741,1.259,794,23,40,0,0,0
0,7,16,32,4.0,2.755,1.245,803,25,45,0,0,0
0,8,6,32,4.0,2.822,1.178,849,15,30,0,0,0
0,8,8,32,4.0,2.879,1.121,892,17,39,0,0,0
0,8,10,32,4.0,2.890,1.11,901,19,51,0,0,0
0,8,12,32,4.0,2.740,1.26,794,21,60,0,0,0
0,8,14,32,4.0,2.736,1.264,791,23,70,0,0,0
0,8,16,32,4.0,2.736,1.264,791,25,80,0,0,0
0,9,6,32,4.0,2.950,1.05,952,15,44,0,0,0
0,9,8,32,4.0,2.936,1.064,940,17,66,0,0,0
0,9,10,32,4.0,2.860,1.14,877,19,88,0,0,0
0,9,12,32,4.0,2.888,1.112,899,21,108,0,0,0
0,9,14,32,4.0,2.918,1.082,924,23,130,0,0,0
0,9,16,32,4.0,2.843,1.157,864,25,152,0,0,0
0,10,6,32,4.0,2.871,1.129,886,15,68,0,0,0
0,10,8,32,4.0,2.915,1.085,922,17,109,0,0,0
0,10,10,32,4.0,2.890,1.11,901,19,151,0,0,0
0,10,12,32,4.0,2.720,1.28,781,21,209,0,0,0
0,10,14,32,4.0,2.867,1.133,883,23,234,0,0,0
0,10,16,32,4.0,2.624,1.376,727,25,274,0,0,0
0,11,6,32,4.0,2.908,1.092,916,15,84,0,0,0
0,11,8,32,4.0,2.885,1.115,897,17,173,0,0,0
0,11,10,32,4.0,2.717,1.283,779,19,250,0,0,0
0,11,12,32,4.0,2.785,1.215,823,21,341,0,0,0
0,11,14,32,4.0,2.722,1.278,782,23,429,0,0,0
0,11,16,32,4.0,2.838,1.162,861,25,512,0,0,0
1,6,6,32,4.0,2.169,1.831,546,80,34,1,0,0
1,6,8,32,4.0,2.330,1.67,599,86,37,1,0,0
1,6,10,32,4.0,2.343,1.657,604,92,42,1,0,0
1,6,12,32,4.0,2.244,1.756,569,98,47,1,0,0
1,6,14,32,4.0,1.928,2.072,483,104,52,1,0,0
1,6,16,32,4.0,2.371,1.629,614,110,57,1,0,0
1,7,6,32,4.0,2.197,1.803,555,80,41,1,0,0
1,7,8,32,4.0,2.219,1.781,561,86,48,1,0,0
1,7,10,32,4.0,2.418,1.582,632,92,56,1,0,0
1,7,12,32,4.0,2.326,1.674,597,98,64,1,0,0
1,7,14,32,4.0,2.250,1.75,571,104,72,1,0,0
1,7,16,32,4.0,2.046,1.954,512,110,80,1,0,0
1,8,6,32,4.0,2.178,1.822,549,80,52,1,0,0
1,8,8,32,4.0,2.211,1.789,559,86,62,1,0,0
1,8,10,32,4.0,2.107,1.893,528,92,77,1,0,0
1,8,12,32,4.0,2.072,1.928,519,98,89,1,0,0
1,8,14,32,4.0,2.196,1.804,554,104,102,1,0,0
1,8,16,32,4.0,2.260,1.74,575,110,115,1,0,0
1,9,6,32,4.0,2.325,1.675,597,80,66,1,0,0
1,9,8,32,4.0,2.232,1.768,566,86,89,1,0,0
1,9,10,32,4.0,2.279,1.721,581,92,114,1,0,0
1,9,12,32,4.0,2.245,1.755,570,98,137,1,0,0
1,9,14,32,4.0,2.176,1.824,548,104,162,1,0,0
1,9,16,32,4.0,2.253,1.747,572,110,187,1,0,0
1,10,6,32,4.0,2.056,1.944,514,80,90,1,0,0
1,10,8,32,4.0,2.200,1.8,556,86,132,1,0,0
1,10,10,32,4.0,2.319,1.681,595,92,177,1,0,0
1,10,12,32,4.0,2.317,1.683,594,98,238,1,0,0
1,10,14,32,4.0,2.334,1.666,600,104,266,1,0,0
1,10,16,32,4.0,2.190,1.81,552,110,308,1,0,0
1,11,6,32,4.0,2.344,1.656,604,80,106,1,0,0
1,11,8,32,4.0,2.215,1.785,560,86,194,1,0,0
1,11,10,32,4.0,2.282,1.718,582,92,275,1,0,0
1,11,12,32,4.0,2.240,1.76,568,98,370,1,0,0
1,11,14,32,4.0,2.243,1.757,569,104,459,1,0,0
1,11,16,32,4.0,2.235,1.765,567,110,546,1,0,0
