method,params,rmsre,lut,dsp
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=6;ADDR_WIDTH_2=7;WORD_WIDTH=22,1.503511e-06,220,2
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=6;ADDR_WIDTH_2=6;WORD_WIDTH=22,1.505070e-06,206,2
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=6;ADDR_WIDTH_2=5;WORD_WIDTH=22,1.746922e-06,201,2
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=5;ADDR_WIDTH_2=6;WORD_WIDTH=22,1.901869e-06,200,2
exp_splitting,ADDR_WIDTH_0=5;ADDR_WIDTH_1=6;ADDR_WIDTH_2=6;WORD_WIDTH=22,2.653335e-06,198,2
exp_bipartite,ADDR_WIDTH_0=4;ADDR_WIDTH_1=7;ADDR_WIDTH_2=7;WORD_WIDTH=21,2.744469e-06,1254,1
exp_splitting,ADDR_WIDTH_0=6;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=22,4.410170e-06,195,2
exp_bipartite,ADDR_WIDTH_0=4;ADDR_WIDTH_1=6;ADDR_WIDTH_2=6;WORD_WIDTH=20,4.988970e-06,699,1
exp_splitting,ADDR_WIDTH_0=5;ADDR_WIDTH_1=6;ADDR_WIDTH_2=5;WORD_WIDTH=22,5.234733e-06,193,2
exp_splitting,ADDR_WIDTH_0=5;ADDR_WIDTH_1=5;ADDR_WIDTH_2=6;WORD_WIDTH=22,7.182997e-06,191,2
exp_bipartite,ADDR_WIDTH_0=3;ADDR_WIDTH_1=6;ADDR_WIDTH_2=6;WORD_WIDTH=18,1.210048e-05,415,1
exp_splitting,ADDR_WIDTH_0=5;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=22,1.288019e-05,185,2
exp_bipartite,ADDR_WIDTH_0=3;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=17,3.160410e-05,283,1
exp_bipartite,ADDR_WIDTH_0=2;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=15,9.280045e-05,217,1
exp_bipartite,ADDR_WIDTH_0=2;ADDR_WIDTH_1=4;ADDR_WIDTH_2=4;WORD_WIDTH=14,2.491653e-04,181,1
exp_lookup,ADDR_WIDTH=8;WORD_WIDTH=8,1.172048e-03,176,1
exp_lookup,ADDR_WIDTH=7;WORD_WIDTH=12,1.566018e-03,174,1
exp_lookup,ADDR_WIDTH=7;WORD_WIDTH=10,1.580245e-03,168,1
exp_lookup,ADDR_WIDTH=7;WORD_WIDTH=8,1.766591e-03,163,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=16,3.122151e-03,161,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=14,3.122232e-03,159,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=12,3.122236e-03,157,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=10,3.129969e-03,155,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=8,3.233879e-03,153,1
exp_lookup,ADDR_WIDTH=6;WORD_WIDTH=6,4.414530e-03,151,1
