method,params,rmsre,lut,dsp
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=10;WORD_WIDTH=10,1.369365e-07,160,2
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=9;WORD_WIDTH=14,1.910211e-07,143,2
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=9;WORD_WIDTH=12,1.921953e-07,119,2
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=9;WORD_WIDTH=10,2.371878e-07,97,2
rec_bipartite,NUM_NEWTON_STEPS=1;ADDR_WIDTH_0=2;ADDR_WIDTH_1=4;ADDR_WIDTH_2=4;WORD_WIDTH=12,3.118972e-07,57,2
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=8;WORD_WIDTH=8,1.587411e-06,46,2
rec_bipartite,NUM_NEWTON_STEPS=1;ADDR_WIDTH_0=2;ADDR_WIDTH_1=3;ADDR_WIDTH_2=3;WORD_WIDTH=11,1.750680e-06,44,2
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=7;WORD_WIDTH=10,2.789138e-06,39,2
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=7;WORD_WIDTH=8,3.747568e-06,32,2
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=4;ADDR_WIDTH_1=6;ADDR_WIDTH_2=6;WORD_WIDTH=18,6.373545e-06,478,0
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=6;WORD_WIDTH=12,1.078825e-05,29,2
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=6;WORD_WIDTH=10,1.081844e-05,25,2
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=6;WORD_WIDTH=8,1.174890e-05,21,2
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=4;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=17,1.663595e-05,257,0
rec_lookup,NUM_NEWTON_STEPS=1;ADDR_WIDTH=6;WORD_WIDTH=6,2.641735e-05,19,2
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=3;ADDR_WIDTH_1=5;ADDR_WIDTH_2=5;WORD_WIDTH=15,5.131228e-05,125,0
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=3;ADDR_WIDTH_1=4;ADDR_WIDTH_2=4;WORD_WIDTH=14,1.330765e-04,71,0
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=2;ADDR_WIDTH_1=4;ADDR_WIDTH_2=4;WORD_WIDTH=12,4.047164e-04,36,0
rec_bipartite,NUM_NEWTON_STEPS=0;ADDR_WIDTH_0=2;ADDR_WIDTH_1=3;ADDR_WIDTH_2=3;WORD_WIDTH=11,1.057613e-03,26,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=7;WORD_WIDTH=8,1.825100e-03,25,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=16,3.208117e-03,22,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=14,3.208223e-03,21,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=12,3.208322e-03,18,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=10,3.213591e-03,16,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=8,3.311962e-03,14,0
rec_lookup,NUM_NEWTON_STEPS=0;ADDR_WIDTH=6;WORD_WIDTH=6,4.814353e-03,13,0
