Test (EXP = BIT_HACKING [A=12102203, D=1065277304], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2): RMSRE = 0.0205993625, MAX_REL_ERROR = 0.0513516983, WORST_INPUT = -2.6711363792419433593750000 (elements = 29218)
Test (EXP = BIT_HACKING [A=12102203, D=1065277304], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):         RMSRE = 0.0206501066, MAX_REL_ERROR = 0.0471349465, WORST_INPUT = 0.1362474858760833740234375 (elements = 29059)
Test (EXP = BIT_HACKING [A=12102203, D=1065277304], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):           RMSRE = 0.0201470313, MAX_REL_ERROR = 0.0467348744, WORST_INPUT = -3.3744199275970458984375000 (elements = 28919)
Test (EXP = BIT_HACKING [A=12102203, D=1065277304], REC = BIPARTITE [NEWTON=1, WW=20, AW0/1/2=5/6/6], N = 64, SIMD = 2): RMSRE = 0.0204327184, MAX_REL_ERROR = 0.0471768528, WORST_INPUT = -0.5944702029228210449218750 (elements = 29146)
Test (EXP =    LOOKUP [WW=8, AW=8], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2):                 RMSRE = 0.0016312737, MAX_REL_ERROR = 0.0065260735, WORST_INPUT = -4.2484111785888671875000000 (elements = 29061)
Test (EXP =    LOOKUP [WW=8, AW=8], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):                         RMSRE = 0.0011768591, MAX_REL_ERROR = 0.0037937371, WORST_INPUT = -5.7399020195007324218750000 (elements = 29116)
Test (EXP =    LOOKUP [WW=8, AW=8], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):                           RMSRE = 0.0011715218, MAX_REL_ERROR = 0.0035545771, WORST_INPUT = -3.9122507572174072265625000 (elements = 29096)
Test (EXP =    LOOKUP [WW=8, AW=8], REC = BIPARTITE [NEWTON=1, WW=20, AW0/1/2=5/6/6], N = 64, SIMD = 2):                 RMSRE = 0.0011741442, MAX_REL_ERROR = 0.0035318903, WORST_INPUT = -3.6618242263793945312500000 (elements = 29064)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2):       RMSRE = 0.0010705347, MAX_REL_ERROR = 0.0042294253, WORST_INPUT = 1.2946202754974365234375000 (elements = 29075)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):               RMSRE = 0.0001390578, MAX_REL_ERROR = 0.0005717917, WORST_INPUT = -0.1939439177513122558593750 (elements = 29020)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):                 RMSRE = 0.0000950399, MAX_REL_ERROR = 0.0004635311, WORST_INPUT = 1.1757695674896240234375000 (elements = 29111)
Test (EXP = BIPARTITE [WW=15, AW0/1/2=2/5/5], REC = BIPARTITE [NEWTON=1, WW=20, AW0/1/2=5/6/6], N = 64, SIMD = 2):       RMSRE = 0.0000946314, MAX_REL_ERROR = 0.0004633427, WORST_INPUT = -0.2782199084758758544921875 (elements = 29057)
Test (EXP = SPLITTING [WW=22, AW0/1/2=7/6/6], REC = BIPARTITE [NEWTON=0, WW=11, AW0/1/2=2/3/3], N = 64, SIMD = 2):       RMSRE = 0.0011150752, MAX_REL_ERROR = 0.0043675390, WORST_INPUT = -1.4763511419296264648437500 (elements = 29130)
Test (EXP = SPLITTING [WW=22, AW0/1/2=7/6/6], REC =    LOOKUP [NEWTON=0, WW=16, AW=11], N = 64, SIMD = 2):               RMSRE = 0.0001057657, MAX_REL_ERROR = 0.0002228233, WORST_INPUT = -0.9748561382293701171875000 (elements = 29028)
Test (EXP = SPLITTING [WW=22, AW0/1/2=7/6/6], REC =    LOOKUP [NEWTON=1, WW=8, AW=9], N = 64, SIMD = 2):                 RMSRE = 0.0000013093, MAX_REL_ERROR = 0.0000060567, WORST_INPUT = 1.5148254632949829101562500 (elements = 29081)
Test (EXP = SPLITTING [WW=22, AW0/1/2=7/6/6], REC = BIPARTITE [NEWTON=1, WW=20, AW0/1/2=5/6/6], N = 64, SIMD = 2):       RMSRE = 0.0000004839, MAX_REL_ERROR = 0.0000018143, WORST_INPUT = -4.3956313133239746093750000 (elements = 29102)
