
exp_lookup accuracy sweep (SoftMax residual sampling)
  N                = 64
  TARGET_ELEMENTS  = 32768
  GROUPS           = 512
  NUM_SAMPLES      = 32768
  EXCLUDE_POS      = 1
  FORCE_BEHAVIORAL = 0
  AW= 6 WW= 6  RMSRE=4.387931e-03  max_rel_error=1.243243e-02  at x=-6.19504261  (dut=0.00201416016, ref=0.00203951629)
  AW= 6 WW= 8  RMSRE=3.214071e-03  max_rel_error=6.970693e-03  at x=-5.39351892  (dut=0.00457763672, ref=0.00454594831)
  AW= 6 WW=10  RMSRE=3.185740e-03  max_rel_error=5.859375e-03  at x=0  (dut=1.00585938, ref=1)
  AW= 6 WW=12  RMSRE=3.165276e-03  max_rel_error=5.522163e-03  at x=-7.58128929  (dut=0.000512719154, ref=0.000509903385)
  AW= 6 WW=14  RMSRE=3.166136e-03  max_rel_error=5.451464e-03  at x=-7.57046556  (dut=0.000518262386, ref=0.000515452416)
  AW= 6 WW=16  RMSRE=3.166092e-03  max_rel_error=5.440517e-03  at x=-8.77264404  (dut=0.00015575625, ref=0.000154913441)
  AW= 7 WW= 6  RMSRE=3.636802e-03  max_rel_error=1.012345e-02  at x=-4.84659863  (dut=0.00793457031, ref=0.00785505013)
  AW= 7 WW= 8  RMSRE=1.810803e-03  max_rel_error=4.582293e-03  at x=-6.22208118  (dut=0.00197601318, ref=0.00198510954)
  AW= 7 WW=10  RMSRE=1.603430e-03  max_rel_error=3.097148e-03  at x=-3.4494853  (dut=0.0318603516, ref=0.03176198)
  AW= 7 WW=12  RMSRE=1.585262e-03  max_rel_error=2.795034e-03  at x=-7.3646903  (dut=0.000631451607, ref=0.000633221482)
  AW= 7 WW=14  RMSRE=1.584737e-03  max_rel_error=2.736840e-03  at x=-3.4494853  (dut=0.0318489075, ref=0.03176198)
  AW= 7 WW=16  RMSRE=1.585560e-03  max_rel_error=2.717292e-03  at x=-10.3268089  (dut=3.28323804e-05, ref=3.2743407e-05)
  AW= 8 WW= 6  RMSRE=3.386344e-03  max_rel_error=8.803169e-03  at x=-6.90712547  (dut=0.000991821289, ref=0.00100063)
  AW= 8 WW= 8  RMSRE=1.151400e-03  max_rel_error=3.125060e-03  at x=-4.12368441  (dut=0.0162353516, ref=0.0161847732)
  AW= 8 WW=10  RMSRE=8.092565e-04  max_rel_error=1.798862e-03  at x=-1.33484709  (dut=0.263671875, ref=0.263198417)
  AW= 8 WW=12  RMSRE=7.980743e-04  max_rel_error=1.464844e-03  at x=0  (dut=1.00146484, ref=1)
  AW= 8 WW=14  RMSRE=7.928989e-04  max_rel_error=1.379026e-03  at x=-9.65532398  (dut=6.41718507e-05, ref=6.40834779e-05)
  AW= 8 WW=16  RMSRE=7.932339e-04  max_rel_error=1.360854e-03  at x=-7.57046556  (dut=0.000516153872, ref=0.000515452416)
  AW= 9 WW= 6  RMSRE=3.332892e-03  max_rel_error=8.063990e-03  at x=-5.53708076  (dut=0.00390625, ref=0.00393800604)
  AW= 9 WW= 8  RMSRE=9.037430e-04  max_rel_error=2.542173e-03  at x=-7.59890652  (dut=0.000499725342, ref=0.000500998968)
  AW= 9 WW=10  RMSRE=4.565838e-04  max_rel_error=1.132772e-03  at x=-6.92741299  (dut=0.000979423523, ref=0.000980534245)
  AW= 9 WW=12  RMSRE=4.021923e-04  max_rel_error=7.874772e-04  at x=-2.02935219  (dut=0.131317139, ref=0.131420629)
  AW= 9 WW=14  RMSRE=3.970434e-04  max_rel_error=7.014133e-04  at x=-4.77621841  (dut=0.00842189789, ref=0.00842780927)
  AW= 9 WW=16  RMSRE=3.968522e-04  max_rel_error=6.828830e-04  at x=-8.98248291  (dut=0.000125676394, ref=0.00012559063)
  AW=10 WW= 6  RMSRE=3.315317e-03  max_rel_error=7.962620e-03  at x=-9.69648743  (dut=6.19888306e-05, ref=6.14991363e-05)
  AW=10 WW= 8  RMSRE=8.434102e-04  max_rel_error=2.185291e-03  at x=-9.69797421  (dut=6.12735748e-05, ref=6.14077687e-05)
  AW=10 WW=10  RMSRE=2.847283e-04  max_rel_error=8.114993e-04  at x=-5.534338  (dut=0.00395202637, ref=0.0039488219)
  AW=10 WW=12  RMSRE=2.027125e-04  max_rel_error=4.455856e-04  at x=-8.98248291  (dut=0.000125646591, ref=0.00012559063)
  AW=10 WW=14  RMSRE=1.992727e-04  max_rel_error=3.662109e-04  at x=0  (dut=1.00036621, ref=1)
  AW=10 WW=16  RMSRE=1.980069e-04  max_rel_error=3.459696e-04  at x=-8.94186974  (dut=0.000130841509, ref=0.000130796257)
  AW=11 WW= 6  RMSRE=3.311818e-03  max_rel_error=7.793564e-03  at x=-4.15890217  (dut=0.0155029297, ref=0.0156247018)
  AW=11 WW= 8  RMSRE=8.268216e-04  max_rel_error=2.081257e-03  at x=-7.60735512  (dut=0.000497817993, ref=0.000496784058)
  AW=11 WW=10  RMSRE=2.263276e-04  max_rel_error=6.404019e-04  at x=-4.13349771  (dut=0.0160369873, ref=0.0160267238)
  AW=11 WW=12  RMSRE=1.145384e-04  max_rel_error=2.815379e-04  at x=-6.194664  (dut=0.00204086304, ref=0.00204028862)
  AW=11 WW=14  RMSRE=1.007510e-04  max_rel_error=1.980476e-04  at x=-7.62292671  (dut=0.000489205122, ref=0.000489108255)
  AW=11 WW=16  RMSRE=9.943764e-05  max_rel_error=1.764223e-04  at x=-8.29813576  (dut=0.000249024481, ref=0.000248980555)
  
