exp_splitting accuracy sweep (SoftMax residual sampling)
  N                = 64
  TARGET_ELEMENTS  = 32768
  GROUPS           = 512
  NUM_SAMPLES      = 32768
  EXCLUDE_POS      = 1
  FORCE_BEHAVIORAL = 0
  A0=5 A1=5 A2=5 WW=22  RMSRE=1.507443e-05  max_rel_error=3.422084e-05  at x=-4.91701317  (dut=0.00732071418, ref=0.00732096471)
  A0=5 A1=5 A2=6 WW=22  RMSRE=9.328440e-06  max_rel_error=2.391658e-05  at x=-4.91701317  (dut=0.00732078962, ref=0.00732096471)
  A0=5 A1=6 A2=5 WW=22  RMSRE=7.379296e-06  max_rel_error=1.691986e-05  at x=-4.91701317  (dut=0.00732084084, ref=0.00732096471)
  A0=5 A1=6 A2=6 WW=22  RMSRE=4.502444e-06  max_rel_error=1.183134e-05  at x=-4.91701317  (dut=0.0073208781, ref=0.00732096471)
  A0=6 A1=5 A2=5 WW=22  RMSRE=6.481797e-06  max_rel_error=1.361232e-05  at x=-4.91701317  (dut=0.00732086506, ref=0.00732096471)
  A0=6 A1=5 A2=6 WW=22  RMSRE=3.503447e-06  max_rel_error=8.396585e-06  at x=-4.91701317  (dut=0.00732090324, ref=0.00732096471)
  A0=6 A1=6 A2=5 WW=22  RMSRE=3.049155e-06  max_rel_error=6.759776e-06  at x=-0.466570377  (dut=0.627145231, ref=0.62714947)
  A0=6 A1=6 A2=6 WW=22  RMSRE=1.561704e-06  max_rel_error=4.098640e-06  at x=-0.466570377  (dut=0.6271469, ref=0.62714947)
  A0=6 A1=6 A2=7 WW=22  RMSRE=8.689425e-07  max_rel_error=2.893610e-06  at x=-4.87386322  (dut=0.00764375646, ref=0.00764377857)
  A0=6 A1=7 A2=6 WW=22  RMSRE=6.290768e-07  max_rel_error=2.106920e-06  at x=-0.97499609  (dut=0.377193034, ref=0.377193828)
  A0=6 A1=7 A2=7 WW=22  RMSRE=3.486145e-07  max_rel_error=1.395825e-06  at x=-0.97499609  (dut=0.377193302, ref=0.377193828)
  A0=7 A1=6 A2=6 WW=22  RMSRE=5.371696e-07  max_rel_error=1.651697e-06  at x=-0.368832111  (dut=0.69154036, ref=0.691541503)
  A0=7 A1=6 A2=7 WW=22  RMSRE=2.827789e-07  max_rel_error=1.133329e-06  at x=-11.4134836  (dut=1.10455549e-05, ref=1.10455423e-05)
  A0=7 A1=7 A2=6 WW=22  RMSRE=2.784297e-07  max_rel_error=1.170543e-06  at x=-11.3444767  (dut=1.18346898e-05, ref=1.18346759e-05)
  A0=7 A1=7 A2=7 WW=22  RMSRE=2.534630e-07  max_rel_error=1.170543e-06  at x=-11.3444767  (dut=1.18346898e-05, ref=1.18346759e-05)
