exp_method,rec_method,rmsre_exp,rmsre_rec,rmsre_softmax_measured,rmsre_softmax_theoretical,rel_diff,rel_diff_abs_pct
"BIT_HACKING(A=12102203,D=1065277304)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",3.824051e-02,1.068728e-03,2.059936e-02,3.825544e-02,+0.8571,85.71%
"BIT_HACKING(A=12102203,D=1065277304)","LOOKUP(NEWTON=0,AW=11,WW=16)",3.824051e-02,1.003585e-04,2.065011e-02,3.824064e-02,+0.8518,85.18%
"BIT_HACKING(A=12102203,D=1065277304)","LOOKUP(NEWTON=1,AW=9,WW=8)",3.824051e-02,9.920150e-07,2.014703e-02,3.824051e-02,+0.8981,89.81%
"BIT_HACKING(A=12102203,D=1065277304)","BIPARTITE(NEWTON=1,AW0/1/2=5/6/6,WW=20)",3.824051e-02,4.739927e-08,2.043272e-02,3.824051e-02,+0.8715,87.15%
"LOOKUP(AW=8,WW=8)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",1.151400e-03,1.068728e-03,1.631274e-03,1.570956e-03,-0.0370,3.70%
"LOOKUP(AW=8,WW=8)","LOOKUP(NEWTON=0,AW=11,WW=16)",1.151400e-03,1.003585e-04,1.176859e-03,1.155765e-03,-0.0179,1.79%
"LOOKUP(AW=8,WW=8)","LOOKUP(NEWTON=1,AW=9,WW=8)",1.151400e-03,9.920150e-07,1.171522e-03,1.151400e-03,-0.0172,1.72%
"LOOKUP(AW=8,WW=8)","BIPARTITE(NEWTON=1,AW0/1/2=5/6/6,WW=20)",1.151400e-03,4.739927e-08,1.174144e-03,1.151400e-03,-0.0194,1.94%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",9.432000e-05,1.068728e-03,1.070535e-03,1.072882e-03,+0.0022,0.22%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","LOOKUP(NEWTON=0,AW=11,WW=16)",9.432000e-05,1.003585e-04,1.390578e-04,1.377247e-04,-0.0096,0.96%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","LOOKUP(NEWTON=1,AW=9,WW=8)",9.432000e-05,9.920150e-07,9.503990e-05,9.432522e-05,-0.0075,0.75%
"BIPARTITE(AW0/1/2=2/5/5,WW=15)","BIPARTITE(NEWTON=1,AW0/1/2=5/6/6,WW=20)",9.432000e-05,4.739927e-08,9.463140e-05,9.432001e-05,-0.0033,0.33%
"SPLITTING(AW0/1/2=7/6/6,WW=22)","BIPARTITE(NEWTON=0,AW0/1/2=2/3/3,WW=11)",5.371696e-07,1.068728e-03,1.115075e-03,1.068728e-03,-0.0416,4.16%
"SPLITTING(AW0/1/2=7/6/6,WW=22)","LOOKUP(NEWTON=0,AW=11,WW=16)",5.371696e-07,1.003585e-04,1.057657e-04,1.003599e-04,-0.0511,5.11%
"SPLITTING(AW0/1/2=7/6/6,WW=22)","LOOKUP(NEWTON=1,AW=9,WW=8)",5.371696e-07,9.920150e-07,1.309300e-06,1.128116e-06,-0.1384,13.84%
"SPLITTING(AW0/1/2=7/6/6,WW=22)","BIPARTITE(NEWTON=1,AW0/1/2=5/6/6,WW=20)",5.371696e-07,4.739927e-08,4.839000e-07,5.392568e-07,+0.1144,11.44%
