# seed = 1781169358
magic_constant, RMSRE
1064100000, 1.2291588475e-01
1064101000, 1.2277619257e-01
1064102000, 1.2263650871e-01
1064103000, 1.2249682566e-01
1064104000, 1.2235713446e-01
1064105000, 1.2221743861e-01
1064106000, 1.2207773302e-01
1064107000, 1.2193802062e-01
1064108000, 1.2179829119e-01
1064109000, 1.2165856533e-01
1064110000, 1.2151884801e-01
1064111000, 1.2137912768e-01
1064112000, 1.2123940406e-01
1064113000, 1.2109966717e-01
1064114000, 1.2095991037e-01
1064115000, 1.2082014699e-01
1064116000, 1.2068038047e-01
1064117000, 1.2054062444e-01
1064118000, 1.2040087716e-01
1064119000, 1.2026112669e-01
1064120000, 1.2012136478e-01
1064121000, 1.1998159287e-01
1064122000, 1.1984179838e-01
1064123000, 1.1970200607e-01
1064124000, 1.1956221274e-01
1064125000, 1.1942242120e-01
1064126000, 1.1928260056e-01
1064127000, 1.1914276289e-01
1064128000, 1.1900293605e-01
1064129000, 1.1886311746e-01
1064130000, 1.1872328471e-01
1064131000, 1.1858345885e-01
1064132000, 1.1844362003e-01
1064133000, 1.1830375604e-01
1064134000, 1.1816388082e-01
1064135000, 1.1802397929e-01
1064136000, 1.1788406889e-01
1064137000, 1.1774414183e-01
1064138000, 1.1760421907e-01
1064139000, 1.1746428884e-01
1064140000, 1.1732435652e-01
1064141000, 1.1718442741e-01
1064142000, 1.1704450736e-01
1064143000, 1.1690458441e-01
1064144000, 1.1676465579e-01
1064145000, 1.1662472177e-01
1064146000, 1.1648474272e-01
1064147000, 1.1634473296e-01
1064148000, 1.1620473278e-01
1064149000, 1.1606474426e-01
1064150000, 1.1592476020e-01
1064151000, 1.1578474631e-01
1064152000, 1.1564470890e-01
1064153000, 1.1550467255e-01
1064154000, 1.1536463651e-01
1064155000, 1.1522459467e-01
1064156000, 1.1508454536e-01
1064157000, 1.1494447925e-01
1064158000, 1.1480441674e-01
1064159000, 1.1466434077e-01
1064160000, 1.1452425789e-01
1064161000, 1.1438417650e-01
1064162000, 1.1424410347e-01
1064163000, 1.1410403892e-01
1064164000, 1.1396396890e-01
1064165000, 1.1382390314e-01
1064166000, 1.1368378414e-01
1064167000, 1.1354364129e-01
1064168000, 1.1340348156e-01
1064169000, 1.1326333140e-01
1064170000, 1.1312318324e-01
1064171000, 1.1298301766e-01
1064172000, 1.1284284614e-01
1064173000, 1.1270267083e-01
1064174000, 1.1256247123e-01
1064175000, 1.1242226305e-01
1064176000, 1.1228206977e-01
1064177000, 1.1214186012e-01
1064178000, 1.1200166019e-01
1064179000, 1.1186146237e-01
1064180000, 1.1172127787e-01
1064181000, 1.1158110900e-01
1064182000, 1.1144093388e-01
1064183000, 1.1130075191e-01
1064184000, 1.1116056067e-01
1064185000, 1.1102037218e-01
1064186000, 1.1088018545e-01
1064187000, 1.1074001069e-01
1064188000, 1.1059983674e-01
1064189000, 1.1045965095e-01
1064190000, 1.1031943976e-01
1064191000, 1.1017921812e-01
1064192000, 1.1003900958e-01
1064193000, 1.0989881767e-01
1064194000, 1.0975862739e-01
1064195000, 1.0961844794e-01
1064196000, 1.0947827105e-01
1064197000, 1.0933809994e-01
1064198000, 1.0919792060e-01
1064199000, 1.0905774491e-01
1064200000, 1.0891758522e-01
1064201000, 1.0877743865e-01
1064202000, 1.0863728954e-01
1064203000, 1.0849714777e-01
1064204000, 1.0835701062e-01
1064205000, 1.0821686632e-01
1064206000, 1.0807671555e-01
1064207000, 1.0793657018e-01
1064208000, 1.0779639885e-01
1064209000, 1.0765621061e-01
1064210000, 1.0751602988e-01
1064211000, 1.0737585148e-01
1064212000, 1.0723563568e-01
1064213000, 1.0709541978e-01
1064214000, 1.0695519632e-01
1064215000, 1.0681497198e-01
1064216000, 1.0667475020e-01
1064217000, 1.0653453035e-01
1064218000, 1.0639431650e-01
1064219000, 1.0625411408e-01
1064220000, 1.0611387975e-01
1064221000, 1.0597362495e-01
1064222000, 1.0583335713e-01
1064223000, 1.0569310792e-01
1064224000, 1.0555285842e-01
1064225000, 1.0541259751e-01
1064226000, 1.0527230365e-01
1064227000, 1.0513201823e-01
1064228000, 1.0499175172e-01
1064229000, 1.0485149660e-01
1064230000, 1.0471125243e-01
1064231000, 1.0457101235e-01
1064232000, 1.0443079007e-01
1064233000, 1.0429057161e-01
1064234000, 1.0415035813e-01
1064235000, 1.0401014226e-01
1064236000, 1.0386992106e-01
1064237000, 1.0372971377e-01
1064238000, 1.0358950862e-01
1064239000, 1.0344931608e-01
1064240000, 1.0330912038e-01
1064241000, 1.0316892110e-01
1064242000, 1.0302874230e-01
1064243000, 1.0288857240e-01
1064244000, 1.0274841511e-01
1064245000, 1.0260826292e-01
1064246000, 1.0246811395e-01
1064247000, 1.0232797642e-01
1064248000, 1.0218784537e-01
1064249000, 1.0204772906e-01
1064250000, 1.0190761107e-01
1064251000, 1.0176749258e-01
1064252000, 1.0162738312e-01
1064253000, 1.0148729100e-01
1064254000, 1.0134720901e-01
1064255000, 1.0120713415e-01
1064256000, 1.0106707706e-01
1064257000, 1.0092702446e-01
1064258000, 1.0078695695e-01
1064259000, 1.0064688846e-01
1064260000, 1.0050680254e-01
1064261000, 1.0036673567e-01
1064262000, 1.0022667364e-01
1064263000, 1.0008661554e-01
1064264000, 9.9946570481e-02
1064265000, 9.9806527718e-02
1064266000, 9.9666487361e-02
1064267000, 9.9526448306e-02
1064268000, 9.9386403397e-02
1064269000, 9.9246358641e-02
1064270000, 9.9106319565e-02
1064271000, 9.8966296379e-02
1064272000, 9.8826291044e-02
1064273000, 9.8686290672e-02
1064274000, 9.8546293890e-02
1064275000, 9.8406308952e-02
1064276000, 9.8266346391e-02
1064277000, 9.8126408994e-02
1064278000, 9.7986493610e-02
1064279000, 9.7846586692e-02
1064280000, 9.7706680270e-02
1064281000, 9.7566795184e-02
1064282000, 9.7426918757e-02
1064283000, 9.7287027954e-02
1064284000, 9.7147125571e-02
1064285000, 9.7007250009e-02
