			HLS	MY RTL	Absolute change	Relative change
full design		WNS	0,226	0,244	0,018	7,96%
		FF	335445	308540	-26905	-8,02%
		LUT	131600	118825	-12775	-9,71%
		DSP	1788	1800	12	0,67%
		RAM36	434	434	0	0,00%
		RAM18	110	110	0	0,00%
		URAM	229	229	0	0,00%
						
						
softmax only		FF	7413	1520	-5893	-79,50%
		LUT	10100	1849	-8251	-81,69%
		DSP	8	16	8	100,00%
		RAM36	0	0	0	#DIV/0!
		RAM18	0	0	0	#DIV/0!
		URAM	0	0	0	#DIV/0!
						
						
layernorm 0		FF	11558	908	-10650	-92,14%
		LUT	4018	1597	-2421	-60,25%
		DSP	19	21	2	10,53%
		RAM36	0	0	0	#DIV/0!
		RAM18	0	0	0	#DIV/0!
		URAM	0	0	0	#DIV/0!
						
						
layernorm 1		FF	11558	914	-10644	-92,09%
		LUT	4018	1597	-2421	-60,25%
		DSP	19	21	2	10,53%
		RAM36	0	0	0	#DIV/0!
		RAM18	0	0	0	#DIV/0!
		URAM	0	0	0	#DIV/0!
