Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 7, ADDR_2 = 7, WORD = 25): RMSRE = 1.0000000000, MAX_REL_ERROR = 1.0000000000, WORST_INPUT = 6048949508810251850690277943541760.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 7, ADDR_2 = 6, WORD = 24): RMSRE = 1.0000000000, MAX_REL_ERROR = 1.0000000000, WORST_INPUT = 0.0000000006350805992205721
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 7, ADDR_2 = 5, WORD = 23): RMSRE = 0.0000002026, MAX_REL_ERROR = 0.0000005635, WORST_INPUT = 11045652460108009038476850094931968.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 7, ADDR_2 = 4, WORD = 22): RMSRE = 0.0000003940, MAX_REL_ERROR = 0.0000010335, WORST_INPUT = 34219.6210937500000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 7, ADDR_2 = 3, WORD = 21): RMSRE = 0.0000008015, MAX_REL_ERROR = 0.0000023002, WORST_INPUT = 32.5019569396972656250000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 6, ADDR_2 = 7, WORD = 24): RMSRE = 1.0000000000, MAX_REL_ERROR = 1.0000000000, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 6, ADDR_2 = 6, WORD = 23): RMSRE = 0.0000002020, MAX_REL_ERROR = 0.0000006624, WORST_INPUT = 0.0000312474403472151607275
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 6, ADDR_2 = 5, WORD = 22): RMSRE = 0.0000003957, MAX_REL_ERROR = 0.0000010822, WORST_INPUT = 146560519115898880.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 6, ADDR_2 = 4, WORD = 21): RMSRE = 0.0000007996, MAX_REL_ERROR = 0.0000020754, WORST_INPUT = 0.0315232239663600921630859
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 6, ADDR_2 = 3, WORD = 20): RMSRE = 0.0000016006, MAX_REL_ERROR = 0.0000044266, WORST_INPUT = 8457087.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 5, ADDR_2 = 7, WORD = 23): RMSRE = 0.0000002111, MAX_REL_ERROR = 0.0000006952, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 5, ADDR_2 = 6, WORD = 22): RMSRE = 0.0000003978, MAX_REL_ERROR = 0.0000012272, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 5, ADDR_2 = 5, WORD = 21): RMSRE = 0.0000008043, MAX_REL_ERROR = 0.0000022860, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 5, ADDR_2 = 4, WORD = 20): RMSRE = 0.0000016173, MAX_REL_ERROR = 0.0000044353, WORST_INPUT = 1154891829443821568.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 5, ADDR_2 = 3, WORD = 19): RMSRE = 0.0000031984, MAX_REL_ERROR = 0.0000086773, WORST_INPUT = 143112773042176.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 4, ADDR_2 = 7, WORD = 22): RMSRE = 0.0000004146, MAX_REL_ERROR = 0.0000014447, WORST_INPUT = 19888177429444820992.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 4, ADDR_2 = 6, WORD = 21): RMSRE = 0.0000008074, MAX_REL_ERROR = 0.0000023759, WORST_INPUT = 4950994275997696789577728.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 4, ADDR_2 = 5, WORD = 20): RMSRE = 0.0000016020, MAX_REL_ERROR = 0.0000045227, WORST_INPUT = 1.0156251192092895507812500
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 4, ADDR_2 = 4, WORD = 19): RMSRE = 0.0000032074, MAX_REL_ERROR = 0.0000084539, WORST_INPUT = 0.0000000000000000000004235
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 4, ADDR_2 = 3, WORD = 18): RMSRE = 0.0000064251, MAX_REL_ERROR = 0.0000174984, WORST_INPUT = 651256114837272497709068721324032.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 3, ADDR_2 = 7, WORD = 21): RMSRE = 0.0000008382, MAX_REL_ERROR = 0.0000031006, WORST_INPUT = 18447729236128038912.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 3, ADDR_2 = 6, WORD = 20): RMSRE = 0.0000016313, MAX_REL_ERROR = 0.0000046811, WORST_INPUT = 0.0000001203752901801635744
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 3, ADDR_2 = 5, WORD = 19): RMSRE = 0.0000032272, MAX_REL_ERROR = 0.0000090871, WORST_INPUT = 0.0001268275082111358642578
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 3, ADDR_2 = 4, WORD = 18): RMSRE = 0.0000064565, MAX_REL_ERROR = 0.0000176271, WORST_INPUT = 594582215757660160.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 7, ADDR_1 = 3, ADDR_2 = 3, WORD = 17): RMSRE = 0.0000128348, MAX_REL_ERROR = 0.0000337839, WORST_INPUT = 587934293578219520.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 7, ADDR_2 = 7, WORD = 24): RMSRE = 1.0000000000, MAX_REL_ERROR = 1.0000000000, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 7, ADDR_2 = 6, WORD = 23): RMSRE = 0.0000002093, MAX_REL_ERROR = 0.0000007757, WORST_INPUT = 1288071624057432265687193092096.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 7, ADDR_2 = 5, WORD = 22): RMSRE = 0.0000004045, MAX_REL_ERROR = 0.0000012574, WORST_INPUT = 288265594883538944.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 7, ADDR_2 = 4, WORD = 21): RMSRE = 0.0000008046, MAX_REL_ERROR = 0.0000022535, WORST_INPUT = 9444950264421311053824.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 7, ADDR_2 = 3, WORD = 20): RMSRE = 0.0000016097, MAX_REL_ERROR = 0.0000042062, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 6, ADDR_2 = 7, WORD = 23): RMSRE = 0.0000002378, MAX_REL_ERROR = 0.0000010872, WORST_INPUT = 0.0000000000000000000067795
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 6, ADDR_2 = 6, WORD = 22): RMSRE = 0.0000004141, MAX_REL_ERROR = 0.0000013818, WORST_INPUT = 306249207067443200.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 6, ADDR_2 = 5, WORD = 21): RMSRE = 0.0000008090, MAX_REL_ERROR = 0.0000024312, WORST_INPUT = 0.0000000000000000000288142
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 6, ADDR_2 = 4, WORD = 20): RMSRE = 0.0000016155, MAX_REL_ERROR = 0.0000043965, WORST_INPUT = 312861427204929441759232.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 6, ADDR_2 = 3, WORD = 19): RMSRE = 0.0000032162, MAX_REL_ERROR = 0.0000086444, WORST_INPUT = 0.0000000298086426653298986
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 5, ADDR_2 = 7, WORD = 22): RMSRE = 0.0000004730, MAX_REL_ERROR = 0.0000018534, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 5, ADDR_2 = 6, WORD = 21): RMSRE = 0.0000008286, MAX_REL_ERROR = 0.0000028677, WORST_INPUT = 74092380160.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 5, ADDR_2 = 5, WORD = 20): RMSRE = 0.0000016185, MAX_REL_ERROR = 0.0000048741, WORST_INPUT = 2693226605086431510528.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 5, ADDR_2 = 4, WORD = 19): RMSRE = 0.0000032060, MAX_REL_ERROR = 0.0000092937, WORST_INPUT = 166153638122398884075566671236956160.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 5, ADDR_2 = 3, WORD = 18): RMSRE = 0.0000064068, MAX_REL_ERROR = 0.0000169814, WORST_INPUT = 0.0000000000004602987370601
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 4, ADDR_2 = 7, WORD = 21): RMSRE = 0.0000009555, MAX_REL_ERROR = 0.0000041709, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 4, ADDR_2 = 6, WORD = 20): RMSRE = 0.0000016991, MAX_REL_ERROR = 0.0000067657, WORST_INPUT = 0.0000000000000000071557376
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 4, ADDR_2 = 5, WORD = 19): RMSRE = 0.0000032408, MAX_REL_ERROR = 0.0000095911, WORST_INPUT = 0.0000000000000001161080074
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 4, ADDR_2 = 4, WORD = 18): RMSRE = 0.0000064566, MAX_REL_ERROR = 0.0000182742, WORST_INPUT = 130.1248474121093750000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 4, ADDR_2 = 3, WORD = 17): RMSRE = 0.0000126983, MAX_REL_ERROR = 0.0000346618, WORST_INPUT = 0.0000000000000000000278231
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 3, ADDR_2 = 7, WORD = 20): RMSRE = 0.0000018975, MAX_REL_ERROR = 0.0000076702, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 3, ADDR_2 = 6, WORD = 19): RMSRE = 0.0000033735, MAX_REL_ERROR = 0.0000128192, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 3, ADDR_2 = 5, WORD = 18): RMSRE = 0.0000065458, MAX_REL_ERROR = 0.0000196766, WORST_INPUT = 4295502848.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 3, ADDR_2 = 4, WORD = 17): RMSRE = 0.0000128581, MAX_REL_ERROR = 0.0000356093, WORST_INPUT = 0.5166670083999633789062500
Test (Newton = 0, ADDR_0 = 6, ADDR_1 = 3, ADDR_2 = 3, WORD = 16): RMSRE = 0.0000255841, MAX_REL_ERROR = 0.0000693109, WORST_INPUT = 0.0004972271854057908058167
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 7, ADDR_2 = 7, WORD = 22): RMSRE = 0.0000003326, MAX_REL_ERROR = 0.0000015697, WORST_INPUT = 0.0000000000000000000000265
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 7, ADDR_2 = 6, WORD = 22): RMSRE = 0.0000004751, MAX_REL_ERROR = 0.0000018599, WORST_INPUT = 0.0000000000000000000000033
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 7, ADDR_2 = 5, WORD = 21): RMSRE = 0.0000008428, MAX_REL_ERROR = 0.0000028449, WORST_INPUT = 0.0000000000000000000016948
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 7, ADDR_2 = 4, WORD = 20): RMSRE = 0.0000016256, MAX_REL_ERROR = 0.0000050027, WORST_INPUT = 0.0080890683457255363464355
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 7, ADDR_2 = 3, WORD = 19): RMSRE = 0.0000031931, MAX_REL_ERROR = 0.0000091888, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 6, ADDR_2 = 7, WORD = 21): RMSRE = 0.0000006636, MAX_REL_ERROR = 0.0000032082, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 6, ADDR_2 = 6, WORD = 21): RMSRE = 0.0000009554, MAX_REL_ERROR = 0.0000038042, WORST_INPUT = 0.0000000000000009423750817
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 6, ADDR_2 = 5, WORD = 20): RMSRE = 0.0000016852, MAX_REL_ERROR = 0.0000058144, WORST_INPUT = 11324395645512658373136808003919413248.0000000000000000000000000
