Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 20): RMSRE = 0.0000033358, MAX_REL_ERROR = 0.0000116687, WORST_INPUT = 606233148720044362956800.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 19): RMSRE = 0.0000033749, MAX_REL_ERROR = 0.0000126786, WORST_INPUT = 623371759231589370822656.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 18): RMSRE = 0.0000035765, MAX_REL_ERROR = 0.0000135671, WORST_INPUT = 0.0000000000000000000000273
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 17): RMSRE = 0.0000044915, MAX_REL_ERROR = 0.0000159185, WORST_INPUT = 0.0000000000000000000000068
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 16): RMSRE = 0.0000069559, MAX_REL_ERROR = 0.0000256076, WORST_INPUT = 1173011377997403398340608.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 15): RMSRE = 0.0000129896, MAX_REL_ERROR = 0.0000488891, WORST_INPUT = 300276930135327398135070720.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 14): RMSRE = 0.0000252114, MAX_REL_ERROR = 0.0000824845, WORST_INPUT = 1152486204681263853338624.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 13): RMSRE = 0.0000508872, MAX_REL_ERROR = 0.0001757524, WORST_INPUT = 18854254555806383141289984.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 12): RMSRE = 0.0001063876, MAX_REL_ERROR = 0.0003464344, WORST_INPUT = 244.0068664550781250000000000
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 11): RMSRE = 0.0002248204, MAX_REL_ERROR = 0.0005961805, WORST_INPUT = 0.0000000000000000000000002
Test (Newton = 0, ADDR_0 = 5, ADDR_1 = 5, ADDR_2 = 5, WORD = 10): RMSRE = 0.0004363082, MAX_REL_ERROR = 0.0010539378, WORST_INPUT = 0.0000000000000000130714273
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 20): RMSRE = 0.0000073729, MAX_REL_ERROR = 0.0000314089, WORST_INPUT = 0.0000000000000000295445423
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 19): RMSRE = 0.0000074119, MAX_REL_ERROR = 0.0000307037, WORST_INPUT = 0.0000000000000000069519758
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 18): RMSRE = 0.0000076164, MAX_REL_ERROR = 0.0000316274, WORST_INPUT = 2601856570788558702712808026406912.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 17): RMSRE = 0.0000081064, MAX_REL_ERROR = 0.0000357472, WORST_INPUT = 75706023146455557996544.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 16): RMSRE = 0.0000095522, MAX_REL_ERROR = 0.0000404420, WORST_INPUT = 34944.1484375000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 15): RMSRE = 0.0000146270, MAX_REL_ERROR = 0.0000500530, WORST_INPUT = 8705.5781250000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 14): RMSRE = 0.0000265047, MAX_REL_ERROR = 0.0000901897, WORST_INPUT = 4699064498109660077752320.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 13): RMSRE = 0.0000502126, MAX_REL_ERROR = 0.0001780644, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 12): RMSRE = 0.0001006622, MAX_REL_ERROR = 0.0003347893, WORST_INPUT = 0.0000000002272061705443917
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 11): RMSRE = 0.0002105150, MAX_REL_ERROR = 0.0006912163, WORST_INPUT = 64896671744.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 10): RMSRE = 0.0004552569, MAX_REL_ERROR = 0.0011660988, WORST_INPUT = 3566865748284407808.0000000000000000000000000
