Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 20): RMSRE = 0.0000074955, MAX_REL_ERROR = 0.0000342888, WORST_INPUT = 2.0078105926513671875000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 19): RMSRE = 0.0000074964, MAX_REL_ERROR = 0.0000365657, WORST_INPUT = 590295951096194007040.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 18): RMSRE = 0.0000076042, MAX_REL_ERROR = 0.0000346492, WORST_INPUT = 0.0000001192168497254897375
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 17): RMSRE = 0.0000080701, MAX_REL_ERROR = 0.0000357080, WORST_INPUT = 0.0001223172293975949287415
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 16): RMSRE = 0.0000096213, MAX_REL_ERROR = 0.0000444839, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 15): RMSRE = 0.0000146845, MAX_REL_ERROR = 0.0000556338, WORST_INPUT = 589857.3750000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 14): RMSRE = 0.0000262175, MAX_REL_ERROR = 0.0000928763, WORST_INPUT = 864362889216.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 13): RMSRE = 0.0000502511, MAX_REL_ERROR = 0.0001856683, WORST_INPUT = 0.0000000000008811862914695
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 12): RMSRE = 0.0001006207, MAX_REL_ERROR = 0.0003575935, WORST_INPUT = 0.2437143921852111816406250
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 11): RMSRE = 0.0002098849, MAX_REL_ERROR = 0.0007060279, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 10): RMSRE = 0.0004541089, MAX_REL_ERROR = 0.0011967391, WORST_INPUT = 0.0000000002269240073626833
